År;Kvartal;Befolkningsförändring_Kvartal;Befolkningsförändring_R12;Födda_barn_Kvartal;Födda_barn_R12;Döda_Kvartal;Döda_R12;Inflyttning_Kvartal;Inflyttning_R12;Utflyttning_Kvartal;Utflyttning_R12;Befolkning_Kvartal;Befolkning_R12;;;;;;;;;;;;;;
2020;1;274;1826;447;1845;340;1206;2046;9561;1887;8419;163325;162626;;;;;;;;;;;;;;
2020;2;-244;1710;456;1779;364;1324;1704;9575;2041;8360;163081;163053,5;;;;;;;;;;;;;;
2020;3;1392;1716;495;1806;243;1264;3990;9553;2862;8424;164473;163482,5;;;;;;;;;;;;;;
2020;4;143;1565;388;1786;387;1334;1874;9614;1846;8636;164616;163874;;;;;;;;;;;;;;
2021;1;68;1359;454;1793;348;1342;1808;9376;1977;8726;164684;164214;;;;;;;;;;;;;;
2021;2;-441;1162;496;1833;267;1245;1580;9252;2340;9025;164243;164504;;;;;;;;;;;;;;
2021;3;1165;935;465;1803;312;1314;4117;9379;3213;9376;165408;164738;;;;;;;;;;;;;;
2021;4;119;911;426;1841;346;1273;1885;9390;2067;9597;165527;164966;;;;;;;;;;;;;;
2022;1;30;873;403;1790;360;1285;1935;9517;2030;9650;165557;165184;;;;;;;;;;;;;;
2022;2;-524;790;422;1716;267;1285;1771;9708;2449;9759;165033;165381;;;;;;;;;;;;;;
2022;3;1179;804;419;1670;269;1242;4200;9791;3225;9771;166212;165582;;;;;;;;;;;;;;
2022;4;461;1146;365;1609;349;1245;2080;9986;1751;9455;166673;165869;;;;;;;;;;;;;;
2023;1;250;1366;393;1599;349;1234;2039;10090;1864;9289;166923;166210;;;;;;;;;;;;;;
2023;2;-364;1526;428;1605;291;1258;1816;10135;2304;9144;166559;166592;;;;;;;;;;;;;;
2023;3;898;1245;383;1569;294;1283;4070;10005;3258;9177;167457;166903;;;;;;;;;;;;;;
2023;4;-53;731;352;1556;326;1260;1817;9742;1878;9304;167404;167086;;;;;;;;;;;;;;
2024;1;68;549;446;1609;318;1229;1921;9624;1967;9407;167472;167223;;;;;;;;;;;;;;
2024;2;-705;208;411;1592;274;1212;1685;9493;2516;9619;166767;167275;;;;;;;;;;;;;;
2024;3;1227;537;412;1621;272;1190;4440;9863;3364;9725;167994;167409;;;;;;;;;;;;;;
2024;4;41;631;332;1601;313;1177;1802;9848;1781;9628;168035;167567;;;;;;;;;;;;;;
2025;1;89;652;343;1498;349;1208;1959;9886;1880;9541;168124;167730;;;;;;;;;;;;;;
2025;2;-685;672;436;1523;307;1241;1647;9848;2449;9474;167439;167898;;;;;;;;;;;;;;
2025;3;1298;743;376;1487;280;1249;4476;9884;3279;9389;168737;168084;;;;;;;;;;;;;;
2025;4;-24;678;340;1495;319;1255;1842;9924;1895;9503;168713;168253;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
