År;Kvartal;Befolkningsförändring_Kvartal;Befolkningsförändring_R12;Befolkningsförändring_Prognos;Befolkningsförändring_Polaritet;Befolkningsförändring_Troskel;Födda_barn_Kvartal;Födda_barn_R12;Födda_barn_Prognos;Födda_barn_Polaritet;Födda_barn_Troskel;Döda_Kvartal;Döda_R12;Döda_Prognos;Döda_Polaritet;Döda_Troskel;Inflyttning_Kvartal;Inflyttning_R12;Inflyttning_Prognos;Inflyttning_Polaritet;Inflyttning_Troskel;Utflyttning_Kvartal;Utflyttning_R12;Utflyttning_Prognos;Utflyttning_Polaritet;Utflyttning_Troskel;Befolkning_Kvartal;Befolkning_R12;Befolkning_Prognos;Befolkning_Polaritet;Befolkning_Troskel;;;;;;;;;;;
2020;1;274;1826;1840;Hög;100;447;1845;1890;Hög;75;340;1206;1250;Låg;50;2046;9561;9400;Hög;200;1887;8419;8200;Låg;200;163325;163325;164890;Hög;3%;;;;;;;;;;;
2020;2;-244;1710;1840;Hög;100;456;1779;1890;Hög;75;364;1324;1250;Låg;50;1704;9575;9400;Hög;200;2041;8360;8200;Låg;200;163081;163081;164890;Hög;3%;;;;;;;;;;;
2020;3;1392;1716;1840;Hög;100;495;1806;1890;Hög;75;243;1264;1250;Låg;50;3990;9553;9400;Hög;200;2862;8424;8200;Låg;200;164473;164473;164890;Hög;3%;;;;;;;;;;;
2020;4;143;1565;1840;Hög;100;388;1786;1890;Hög;75;387;1334;1250;Låg;50;1874;9614;9400;Hög;200;1846;8636;8200;Låg;200;164616;164616;164890;Hög;3%;;;;;;;;;;;
2021;1;68;1359;1320;Hög;100;454;1793;1830;Hög;75;348;1342;1230;Låg;50;1808;9376;8760;Hög;200;1977;8726;8050;Låg;200;164684;164684;165930;Hög;3%;;;;;;;;;;;
2021;2;-441;1162;1320;Hög;100;496;1833;1830;Hög;75;267;1245;1230;Låg;50;1580;9252;8760;Hög;200;2340;9025;8050;Låg;200;164243;164243;165930;Hög;3%;;;;;;;;;;;
2021;3;1165;935;1320;Hög;100;465;1803;1830;Hög;75;312;1314;1230;Låg;50;4117;9379;8760;Hög;200;3213;9376;8050;Låg;200;165408;165408;165930;Hög;3%;;;;;;;;;;;
2021;4;119;911;1320;Hög;100;426;1841;1830;Hög;75;346;1273;1230;Låg;50;1885;9390;8760;Hög;200;2067;9597;8050;Låg;200;165527;165527;165930;Hög;3%;;;;;;;;;;;
2022;1;30;873;880;Hög;100;403;1790;1840;Hög;75;360;1285;1330;Låg;50;1935;9517;9950;Hög;200;2030;9650;9580;Låg;200;165557;165557;166410;Hög;3%;;;;;;;;;;;
2022;2;-524;790;880;Hög;100;422;1716;1840;Hög;75;267;1285;1330;Låg;50;1771;9708;9950;Hög;200;2449;9759;9580;Låg;200;165033;165033;166410;Hög;3%;;;;;;;;;;;
2022;3;1179;804;880;Hög;100;419;1670;1840;Hög;75;269;1242;1330;Låg;50;4200;9791;9950;Hög;200;3225;9771;9580;Låg;200;166212;166212;166410;Hög;3%;;;;;;;;;;;
2022;4;461;1146;880;Hög;100;365;1609;1840;Hög;75;349;1245;1330;Låg;50;2080;9986;9950;Hög;200;1751;9455;9580;Låg;200;166673;166673;166410;Hög;3%;;;;;;;;;;;
2023;1;250;1366;1360;Hög;100;393;1599;1640;Hög;75;349;1234;1270;Låg;50;2039;10090;10240;Hög;200;1864;9289;9240;Låg;200;166923;166923;168040;Hög;3%;;;;;;;;;;;
2023;2;-364;1526;1360;Hög;100;428;1605;1640;Hög;75;291;1258;1270;Låg;50;1816;10135;10240;Hög;200;2304;9144;9240;Låg;200;166559;166559;168040;Hög;3%;;;;;;;;;;;
2023;3;898;1245;1360;Hög;100;383;1569;1640;Hög;75;294;1283;1270;Låg;50;4070;10005;10240;Hög;200;3258;9177;9240;Låg;200;167457;167457;168040;Hög;3%;;;;;;;;;;;
2023;4;-53;731;1360;Hög;100;352;1556;1640;Hög;75;326;1260;1270;Låg;50;1817;9742;10240;Hög;200;1878;9304;9240;Låg;200;167404;167404;168040;Hög;3%;;;;;;;;;;;
2024;1;68;549;950;Hög;100;446;1609;1600;Hög;75;318;1229;1250;Låg;50;1921;9624;9930;Hög;200;1967;9407;9330;Låg;200;167472;167472;168350;Hög;3%;;;;;;;;;;;
2024;2;-705;208;950;Hög;100;411;1592;1600;Hög;75;274;1212;1250;Låg;50;1685;9493;9930;Hög;200;2516;9619;9330;Låg;200;166767;166767;168350;Hög;3%;;;;;;;;;;;
2024;3;1227;537;950;Hög;100;412;1621;1600;Hög;75;272;1190;1250;Låg;50;4440;9863;9930;Hög;200;3364;9725;9330;Låg;200;167994;167994;168350;Hög;3%;;;;;;;;;;;
2024;4;41;631;950;Hög;100;332;1601;1600;Hög;75;313;1177;1250;Låg;50;1802;9848;9930;Hög;200;1781;9628;9330;Låg;200;168035;168035;168350;Hög;3%;;;;;;;;;;;
2025;1;89;652;750;Hög;100;343;1498;1580;Hög;75;349;1208;1280;Låg;50;1959;9886;9720;Hög;200;1880;9541;9270;Låg;200;168124;168124;168780;Hög;3%;;;;;;;;;;;
2025;2;-685;672;750;Hög;100;436;1523;1580;Hög;75;307;1241;1280;Låg;50;1647;9848;9720;Hög;200;2449;9474;9270;Låg;200;167439;167439;168780;Hög;3%;;;;;;;;;;;
2025;3;1298;743;750;Hög;100;376;1487;1580;Hög;75;280;1249;1280;Låg;50;4476;9884;9720;Hög;200;3279;9389;9270;Låg;200;168737;168737;168780;Hög;3%;;;;;;;;;;;
2025;4;-24;678;750;Hög;100;340;1495;1580;Hög;75;319;1255;1280;Låg;50;1842;9924;9720;Hög;200;1895;9503;9270;Låg;200;168713;168713;168780;Hög;3%;;;;;;;;;;;
