År;Kvartal;Sysselsatta_Kvartal;Sysselsatta_R12;Sysselsatta_Prognos;Sysselsatta_Polaritet;Sysselsatta_Troskel;Tillverkning_Kvartal;Tillverkning_R12;Tillverkning_Prognos;Tillverkning_Polaritet;Tillverkning_Troskel;Handel_Kvartal;Handel_R12;Handel_Prognos;Handel_Polaritet;Handel_Troskel;IKT_Kvartal;IKT_R12;IKT_Prognos;IKT_Polaritet;IKT_Troskel;Utbildning_Kvartal;Utbildning_R12;Utbildning_Prognos;Utbildning_Polaritet;Utbildning_Troskel;Vård_Omsorg_Kvartal;Vård_Omsorg_R12;Vård_Omsorg_Prognos;Vård_Omsorg_Polaritet;Vård_Omsorg_Troskel;Offentlig_förvaltning_Kvartal;Offentlig_förvaltning_R12;Offentlig_förvaltning_Prognos;Offentlig_förvaltning_Polaritet;Offentlig_förvaltning_Troskel
2020;1;88921;88921;..;Hög;250;11400;11400;..;Hög;150;7647;7647;..;Hög;75;5782;5782;..;Hög;50;11653;11653;..;Hög;150;15303;15303;..;Hög;200;6513;6513;..;Hög;150
2020;2;88601;88601;..;Hög;250;11435;11435;..;Hög;150;7553;7553;..;Hög;75;5835;5835;..;Hög;50;11486;11486;..;Hög;150;15483;15483;..;Hög;200;6705;6705;..;Hög;150
2020;3;89753;89753;..;Hög;250;11676;11676;..;Hög;150;7775;7775;..;Hög;75;5897;5897;..;Hög;50;11166;11166;..;Hög;150;16292;16292;..;Hög;200;6825;6825;..;Hög;150
2020;4;88694;88992;..;Hög;250;11368;11470;..;Hög;150;7460;7609;..;Hög;75;5829;5836;..;Hög;50;11711;11504;..;Hög;150;15775;15713;..;Hög;200;6688;6683;..;Hög;150
2021;1;87811;88715;88921;Hög;250;11407;11472;11400;Hög;150;7465;7563;7647;Hög;75;5892;5863;5782;Hög;50;11728;11523;11653;Hög;150;15580;15783;15303;Hög;200;6780;6750;6513;Hög;150
2021;2;89733;88998;88601;Hög;250;11511;11491;11435;Hög;150;7597;7574;7553;Hög;75;6096;5929;5835;Hög;50;11920;11631;11486;Hög;150;15993;15910;15483;Hög;200;6724;6754;6705;Hög;150
2021;3;92764;89751;89753;Hög;250;11823;11527;11676;Hög;150;8055;7644;7775;Hög;75;6355;6043;5897;Hög;50;11506;11716;11166;Hög;150;17184;16133;16292;Hög;200;6359;6638;6825;Hög;150
2021;4;91044;90338;88694;Hög;250;11417;11540;11368;Hög;150;7652;7692;7460;Hög;75;6341;6171;5829;Hög;50;9474;11157;11711;Hög;150;16231;16247;15775;Hög;200;6309;6543;6688;Hög;150
2022;1;90515;91014;87811;Hög;250;11357;11527;11407;Hög;150;7690;7749;7465;Hög;75;6390;6296;5892;Hög;50;9512;10603;11728;Hög;150;16128;16384;15580;Hög;200;6364;6439;6780;Hög;150
2022;2;92139;91616;89733;Hög;250;11399;11499;11511;Hög;150;7866;7816;7597;Hög;75;6467;6388;6096;Hög;50;9642;10034;11920;Hög;150;16311;16464;15993;Hög;200;6448;6370;6724;Hög;150
2022;3;94503;92050;92764;Hög;250;11781;11489;11823;Hög;150;8272;7870;8055;Hög;75;6655;6463;6355;Hög;50;9189;9454;11506;Hög;150;16993;16416;17184;Hög;200;6524;6411;6359;Hög;150
