År;Kvartal;Färdigställda_bostäder_Kvartal;Färdigställda_bostäder_R12;Färdigställda_bostäder_Prognos;Färdigställda_bostäder_Polaritet;Färdigställda_bostäder_Troskel;Färdigställda_småhus_Kvartal;Färdigställda_småhus_R12;Färdigställda_småhus_Prognos;Färdigställda_småhus_Polaritet;Färdigställda_småhus_Troskel;Färdigställda_flerbostadshus_Kvartal;Färdigställda_flerbostadshus_R12;Färdigställda_flerbostadshus_Prognos;Färdigställda_flerbostadshus_Polaritet;Färdigställda_flerbostadshus_Troskel;Påbörjade_bostäder_Kvartal;Påbörjade_bostäder_R12;Påbörjade_bostäder_Prognos;Påbörjade_bostäder_Polaritet;Påbörjade_bostäder_Troskel;Påbörjade_småhus_Kvartal;Påbörjade_småhus_R12;Påbörjade_småhus_Prognos;Påbörjade_småhus_Polaritet;Påbörjade_småhus_Troskel;Påbörjade_flerbostadshus_Kvartal;Påbörjade_flerbostadshus_R12;Påbörjade_flerbostadshus_Prognos;Påbörjade_flerbostadshus_Polaritet;Påbörjade_flerbostadshus_Troskel
2020;1;543;1341;1021;Hög;200;29;116;288;Hög;50;514;1225;733;Hög;125;87;1040;788;Hög;200;43;172;133;Hög;50;44;868;655;Hög;125
2020;2;345;1447;963;Hög;200;29;108;175;Hög;50;316;1339;788;Hög;125;450;1276;666;Hög;200;37;177;122;Hög;50;413;1099;544;Hög;125
2020;3;204;1341;1127;Hög;200;46;135;163;Hög;50;158;1206;964;Hög;125;133;921;1124;Hög;200;27;156;146;Hög;50;106;765;978;Hög;125
2020;4;423;1515;896;Hög;200;58;162;118;Hög;50;365;1353;778;Hög;125;84;754;1177;Hög;200;37;144;170;Hög;50;47;610;1007;Hög;125
2021;1;255;1227;1341;Hög;200;32;165;116;Hög;50;223;1062;1225;Hög;125;320;987;1040;Hög;200;28;129;172;Hög;50;292;858;868;Hög;125
2021;2;403;1285;1447;Hög;200;29;165;108;Hög;50;374;1120;1339;Hög;125;466;1003;1276;Hög;200;89;181;177;Hög;50;377;822;1099;Hög;125
2021;3;80;1161;1341;Hög;200;25;144;135;Hög;50;55;1017;1206;Hög;125;156;1026;921;Hög;200;50;204;156;Hög;50;106;822;765;Hög;125
2021;4;219;957;1515;Hög;200;68;154;162;Hög;50;151;803;1353;Hög;125;181;1123;754;Hög;200;22;189;144;Hög;50;159;934;610;Hög;125
2022;1;395;1097;1227;Hög;200;36;158;165;Hög;50;359;939;1062;Hög;125;309;1112;987;Hög;200;121;282;129;Hög;50;188;830;858;Hög;125
2022;2;323;1017;1285;Hög;200;82;211;165;Hög;50;241;806;1120;Hög;125;319;965;1003;Hög;200;116;309;181;Hög;50;203;656;822;Hög;125
2022;3;273;1210;1161;Hög;200;69;255;144;Hög;50;204;955;1017;Hög;125;43;852;1026;Hög;200;43;302;204;Hög;50;0;550;822;Hög;125
2022;4;321;1312;957;Hög;200;68;255;154;Hög;50;253;1057;803;Hög;125;43;714;1123;Hög;200;43;323;189;Hög;50;0;391;934;Hög;125
2023;1;272;1189;1097;Hög;200;54;273;158;Hög;50;218;916;939;Hög;125;133;538;1112;Hög;200;20;222;282;Hög;50;113;316;830;Hög;125
2023;2;427;1293;1017;Hög;200;65;256;211;Hög;50;362;1037;806;Hög;125;16;235;965;Hög;200;10;116;309;Hög;50;6;119;656;Hög;125
2023;3;87;1107;1210;Hög;200;41;228;255;Hög;50;46;879;955;Hög;125;147;339;852;Hög;200;7;80;302;Hög;50;140;259;550;Hög;125
2023;4;166;952;1312;Hög;200;25;185;255;Hög;50;141;767;1057;Hög;125;445;741;714;Hög;200;55;92;323;Hög;50;390;649;391;Hög;125
2024;1;116;796;1189;Hög;200;10;141;273;Hög;50;106;655;916;Hög;125;329;937;538;Hög;200;19;91;222;Hög;50;310;846;316;Hög;125
2024;2;64;433;1293;Hög;200;14;90;256;Hög;50;50;343;1037;Hög;125;111;1032;235;Hög;200;17;98;116;Hög;50;94;934;119;Hög;125
2024;3;30;376;1107;Hög;200;18;67;228;Hög;50;12;309;879;Hög;125;67;952;339;Hög;200;67;158;80;Hög;50;0;794;259;Hög;125
2024;4;61;271;952;Hög;200;61;103;185;Hög;50;0;168;767;Hög;125;18;525;741;Hög;200;18;121;92;Hög;50;0;404;649;Hög;125
2025;1;140;295;796;Hög;200;26;119;141;Hög;50;114;176;655;Hög;125;207;403;937;Hög;200;43;145;91;Hög;50;164;258;846;Hög;125
2025;2;223;454;433;Hög;200;27;132;90;Hög;50;196;322;343;Hög;125;215;507;1032;Hög;200;49;177;98;Hög;50;166;330;934;Hög;125
2025;3;196;620;376;Hög;200;33;147;67;Hög;50;163;473;309;Hög;125;115;555;952;Hög;200;8;118;158;Hög;50;107;437;794;Hög;125
2025;4;240;799;271;Hög;200;32;118;103;Hög;50;208;681;168;Hög;125;72;609;525;Hög;200;23;123;121;Hög;50;49;486;404;Hög;125
