År;Kvartal;Inskrivna_arbetslösa_Kvartal;Inskrivna_arbetslösa_R12;Inskrivna_arbetslösa_Prognos;Inskrivna_arbetslösa_Polaritet;Inskrivna_arbetslösa_Troskel;Inrikes_födda_arbetslösa_Kvartal;Inrikes_födda_arbetslösa_R12;Inrikes_födda_arbetslösa_Prognos;Inrikes_födda_arbetslösa_Polaritet;Inrikes_födda_arbetslösa_Troskel;Utrikes_födda_arbetslösa_Kvartal;Utrikes_födda_arbetslösa_R12;Utrikes_födda_arbetslösa_Prognos;Utrikes_födda_arbetslösa_Polaritet;Utrikes_födda_arbetslösa_Troskel;Ungdomar_arbetslösa_Kvartal;Ungdomar_arbetslösa_R12;Ungdomar_arbetslösa_Prognos;Ungdomar_arbetslösa_Polaritet;Ungdomar_arbetslösa_Troskel;Långtidsarbetslösa_Kvartal;Långtidsarbetslösa_R12;Långtidsarbetslösa_Prognos;Långtidsarbetslösa_Polaritet;Långtidsarbetslösa_Troskel;Inskrivna_arbetslösa_%_Kvartal;Inskrivna_arbetslösa_%_R12;Inskrivna_arbetslösa_%_Prognos;Inskrivna_arbetslösa_%_Polaritet;Inskrivna_arbetslösa_%_Troskel;Inrikes_födda_arbetslösa_%_Kvartal;Inrikes_födda_arbetslösa_%_R12;Inrikes_födda_arbetslösa_%_Prognos;Inrikes_födda_arbetslösa_%_Polaritet;Inrikes_födda_arbetslösa_%_Troskel;Utrikes_födda_arbetslösa_%_Kvartal;Utrikes_födda_arbetslösa_%_R12;Utrikes_födda_arbetslösa_%_Prognos;Utrikes_födda_arbetslösa_%_Polaritet;Utrikes_födda_arbetslösa_%_Troskel;Ungdomar_arbetslösa_%_Kvartal;Ungdomar_arbetslösa_%_R12;Ungdomar_arbetslösa_%_Prognos;Ungdomar_arbetslösa_%_Polaritet;Ungdomar_arbetslösa_%_Troskel;Långtidsarbetslösa_%_Kvartal;Långtidsarbetslösa_%_R12;Långtidsarbetslösa_%_Prognos;Långtidsarbetslösa_%_Polaritet;Långtidsarbetslösa_%_Troskel
2020;1;5067;5067;..;Låg;150;2088;2088;..;Låg;125;2979;2979;..;Låg;150;744;744;..;Låg;40;2141;2141;..;Låg;125;6,4;6,4;..;Låg;3%;3,2;3,2;..;Låg;3%;19,3;19,3;..;Låg;3%;8,2;8,2;..;Låg;3%;42,3;42,3;..;Låg;3%
2020;2;5608;5608;..;Låg;150;2389;2389;..;Låg;125;3219;3219;..;Låg;150;816;816;..;Låg;40;2188;2188;..;Låg;125;7,0;7,0;..;Låg;3%;3,7;3,7;..;Låg;3%;20,5;20,5;..;Låg;3%;8,9;8,9;..;Låg;3%;39,0;39,0;..;Låg;3%
2020;3;6231;6231;..;Låg;150;2722;2722;..;Låg;125;3509;3509;..;Låg;150;1057;1057;..;Låg;40;2250;2250;..;Låg;125;7,7;7,7;..;Låg;3%;4,2;4,2;..;Låg;3%;21,9;21,9;..;Låg;3%;11,2;11,2;..;Låg;3%;36,1;36,1;..;Låg;3%
2020;4;5872;5695;..;Låg;150;2448;2412;..;Låg;125;3424;3283;..;Låg;150;890;877;..;Låg;40;2251;2208;..;Låg;125;7,3;7,1;..;Låg;3%;3,8;3,7;..;Låg;3%;21,5;20,8;..;Låg;3%;9,6;9,5;..;Låg;3%;38,3;38,9;..;Låg;3%
2021;1;5683;5849;5067;Låg;150;2304;2466;2088;Låg;125;3379;3383;2979;Låg;150;822;896;744;Låg;40;2401;2273;2141;Låg;125;6,9;7,2;6,4;Låg;3%;3,5;3,8;3,2;Låg;3%;20,0;21,0;19,3;Låg;3%;8,9;9,7;8,2;Låg;3%;42,2;38,9;42,3;Låg;3%
2021;2;5408;5799;5608;Låg;150;2069;2386;2389;Låg;125;3339;3413;3219;Låg;150;746;879;816;Låg;40;2535;2359;2188;Låg;125;6,6;7,1;7,0;Låg;3%;3,2;3,7;3,7;Låg;3%;19,8;20,8;20,5;Låg;3%;8,2;9,5;8,9;Låg;3%;46,9;40,9;39,0;Låg;3%
2021;3;5454;5604;6231;Låg;150;2039;2215;2722;Låg;125;3415;3389;3509;Låg;150;797;814;1057;Låg;40;2701;2472;2250;Låg;125;6,7;6,9;7,7;Låg;3%;3,1;3,4;4,2;Låg;3%;20,1;20,4;21,9;Låg;3%;8,7;8,9;11,2;Låg;3%;49,5;44,2;36,1;Låg;3%
2021;4;5159;5426;5872;Låg;150;1914;2082;2448;Låg;125;3245;3345;3424;Låg;150;730;774;890;Låg;40;2619;2564;2251;Låg;125;6,3;6,6;7,3;Låg;3%;3,0;3,2;3,8;Låg;3%;19,3;19,8;21,5;Låg;3%;8,0;8,5;9,6;Låg;3%;50,8;47,4;38,3;Låg;3%
2022;1;4836;5214;5683;Låg;150;1754;1944;2304;Låg;125;3082;3270;3379;Låg;150;635;727;822;Låg;40;2461;2579;2401;Låg;125;6,0;6,4;6,9;Låg;3%;2,7;3,0;3,5;Låg;3%;18,3;19,4;20,0;Låg;3%;7,3;8,1;8,9;Låg;3%;50,9;49,5;42,2;Låg;3%
2022;2;4641;5023;5408;Låg;150;1660;1842;2069;Låg;125;2981;3181;3339;Låg;150;605;692;746;Låg;40;2349;2533;2535;Låg;125;5,8;6,2;6,6;Låg;3%;2,6;2,9;3,2;Låg;3%;17,8;18,9;19,8;Låg;3%;7,0;7,8;8,2;Låg;3%;50,6;50,4;46,9;Låg;3%
2022;3;4624;4815;5454;Låg;150;1736;1766;2039;Låg;125;2888;3049;3415;Låg;150;649;655;797;Låg;40;2252;2420;2701;Låg;125;5,9;6,0;6,7;Låg;3%;2,9;2,8;3,1;Låg;3%;17,4;18,2;20,1;Låg;3%;7,5;7,5;8,7;Låg;3%;48,7;50,2;49,5;Låg;3%
2022;4;4734;4709;5159;Låg;150;1751;1725;1914;Låg;125;2983;2984;3245;Låg;150;669;640;730;Låg;40;2270;2333;2619;Låg;125;5,9;5,9;6,3;Låg;3%;2,7;2,7;3,0;Låg;3%;17,9;17,9;19,3;Låg;3%;7,7;7,4;8,0;Låg;3%;48,0;49,5;50,8;Låg;3%
2023;1;4699;4675;4836;Låg;150;1714;1715;1754;Låg;125;2985;2959;3082;Låg;150;639;641;635;Låg;40;2209;2270;2461;Låg;125;5,6;5,8;6,0;Låg;3%;2,6;2,7;2,7;Låg;3%;16,7;17,5;18,3;Låg;3%;6,2;7,1;7,3;Låg;3%;47,0;48,6;50,9;Låg;3%
2023;2;4613;4668;4641;Låg;150;1651;1713;1660;Låg;125;2962;2955;2981;Låg;150;578;634;605;Låg;40;2173;2226;2349;Låg;125;5,5;5,7;5,8;Låg;3%;2,5;2,7;2,6;Låg;3%;16,5;17,1;17,8;Låg;3%;5,5;6,7;7,0;Låg;3%;47,1;47,7;50,6;Låg;3%
2023;3;4810;4714;4624;Låg;150;1775;1723;1736;Låg;125;3035;2991;2888;Låg;150;684;643;649;Låg;40;2122;2194;2252;Låg;125;5,7;5,7;5,9;Låg;3%;2,7;2,6;2,9;Låg;3%;16,7;17,0;17,4;Låg;3%;6,5;6,5;7,5;Låg;3%;44,1;46,5;48,7;Låg;3%
2023;4;4735;4714;4734;Låg;150;1728;1717;1751;Låg;125;3007;2997;2983;Låg;150;667;642;669;Låg;40;2072;2144;2270;Låg;125;5,6;5,6;5,9;Låg;3%;2,6;2,6;2,7;Låg;3%;16,5;16,6;17,9;Låg;3%;6,3;6,1;7,7;Låg;3%;43,8;45,5;48,0;Låg;3%
2024;1;5004;4791;4699;Låg;150;1879;1758;1714;Låg;125;3125;3032;2985;Låg;150;647;644;639;Låg;40;2125;2123;2209;Låg;125;5,9;5,7;5,6;Låg;3%;2,8;2,7;2,6;Låg;3%;16,9;16,7;16,7;Låg;3%;6,0;6,1;6,2;Låg;3%;42,5;44,4;47,0;Låg;3%
2024;2;4823;4843;4613;Låg;150;1790;1793;1651;Låg;125;3033;3050;2962;Låg;150;607;651;578;Låg;40;2065;2096;2173;Låg;125;5,7;5,7;5,5;Låg;3%;2,7;2,7;2,5;Låg;3%;16,3;16,6;16,5;Låg;3%;5,7;6,1;5,5;Låg;3%;42,8;43,3;47,1;Låg;3%
