År;Kvartal;Sysselsatta_Kvartal;Sysselsatta_R12;Tillverkning_Kvartal;Tillverkning_R12;Handel_Kvartal;Handel_R12;IKT_Kvartal;IKT_R12;Utbildning_Kvartal;Utbildning_R12;Vård_Omsorg_Kvartal;Vård_Omsorg_R12;Offentlig_förvaltning_Kvartal;Offentlig_förvaltning_R12
2020;1;88921;..;11400;..;7647;..;5782;..;11653;..;15303;..;6513;..
2020;2;88601;..;11435;..;7553;..;5835;..;11486;..;15483;..;6705;..
2020;3;89753;..;11676;..;7775;..;5897;..;11166;..;16292;..;6825;..
2020;4;88694;..;11368;..;7460;..;5829;..;11711;..;15775;..;6688;..
2021;1;87811;-1110;11407;7;7465;-182;5892;110;11728;75;15580;277;6780;267
2021;2;89733;1132;11511;76;7597;44;6096;261;11920;434;15993;510;6724;19
2021;3;92764;3011;11823;147;8055;280;6355;458;11506;340;17184;892;6359;-466
2021;4;91044;2350;11417;49;7652;192;6341;512;9474;-2237;16231;456;6309;-379
2022;1;90515;2704;11357;-50;7690;225;6390;498;9512;-2216;16128;548;6364;-416
2022;2;92139;2406;11399;-112;7866;269;6467;371;9642;-2278;16311;318;6448;-276
2022;3;94503;1739;11781;-42;8272;217;6655;300;9189;-2317;16993;-191;6524;165
2022;4;93215;2171;11401;-16;7709;57;6769;428;9445;-29;16490;259;6582;273
2023;1;92984;2469;11464;107;7648;-42;6904;514;9428;-84;16369;241;6917;553
2023;2;94406;2267;11616;217;7782;-84;7048;581;9539;-103;16968;657;6635;187
2023;3;96814;2311;12106;325;8206;-66;7308;653;9028;-161;17554;561;7313;789
2023;4;94964;1749;11896;495;7778;69;7275;506;8717;-728;17105;615;7027;445
2024;1;94105;1121;12031;567;7710;62;7193;289;8378;-1050;16868;499;7203;286
2024;2;94888;482;12310;694;7783;1;7072;24;8432;-1107;16747;-221;7447;812
2024;3;96547;-267;12786;680;8167;-39;7281;-27;7980;-1048;17561;7;7487;174
2024;4;93361;-1603;12613;717;7632;-146;7141;-134;8189;-528;16308;-797;7383;356
2025;1;92511;-1594;12815;784;7641;-69;7089;-104;7876;-502;16055;-813;7689;486
2025;2;94172;-716;13004;694;7820;37;7074;2;8003;-429;16357;-390;7748;301
2025;3;97012;465;13511;725;8245;78;7237;-44;7670;-310;17693;132;7852;365
2025;4;95315;1954;13459;846;7664;32;7201;60;7961;-228;16670;362;7641;258
