År;Kvartal;Befolkningsförändring_Kvartal;Befolkningsförändring_R12;Befolkningsförändring_Prognos;Befolkningsförändring_Polaritet;Befolkningsförändring_Troskel;Befolkningsförändring_Kvartal_Riket;Befolkningsförändring_R12_Riket;Födda_barn_Kvartal;Födda_barn_R12;Födda_barn_Prognos;Födda_barn_Polaritet;Födda_barn_Troskel;Födda_barn_Kvartal_Riket;Födda_barn_R12_Riket;Döda_Kvartal;Döda_R12;Döda_Prognos;Döda_Polaritet;Döda_Troskel;Döda_Kvartal_Riket;Döda_R12_Riket;Inflyttning_Kvartal;Inflyttning_R12;Inflyttning_Prognos;Inflyttning_Polaritet;Inflyttning_Troskel;Inflyttning_Kvartal_Riket;Inflyttning_R12_Riket;Utflyttning_Kvartal;Utflyttning_R12;Utflyttning_Prognos;Utflyttning_Polaritet;Utflyttning_Troskel;Utflyttning_Kvartal_Riket;Utflyttning_R12_Riket;Befolkning_Kvartal;Befolkning_R12;Befolkning_Prognos;Befolkning_Polaritet;Befolkning_Troskel;Befolkning_Kvartal_Riket;Befolkning_R12_Riket;;;;;;;
2020;1;274;1826;1840;Hög;100;15814;88301;447;1845;1890;Hög;75;28262;114517;340;1206;1250;Låg;50;24442;89173;2046;9561;9400;Hög;200;20828;99910;1887;8419;8200;Låg;200;12001;47877;163325;163325;164890;Hög;3%;10343403;10343403;;;;;;;
2020;2;-244;1710;1840;Hög;100;8987;71201;456;1779;1890;Hög;75;29991;114160;364;1324;1250;Låg;50;26844;94931;1704;9575;9400;Hög;200;12607;88295;2041;8360;8200;Låg;200;8971;46468;163081;163081;164890;Hög;3%;10352390;10352390;;;;;;;
2020;3;1392;1716;1840;Hög;100;20835;59778;495;1806;1890;Hög;75;29388;113499;243;1264;1250;Låg;50;20775;94931;3990;9553;9400;Hög;200;25059;79196;2862;8424;8200;Låg;200;13516;46583;164473;164473;164890;Hög;3%;10373225;10373225;;;;;;;
2020;4;143;1565;1840;Hög;100;6070;51706;388;1786;1890;Hög;75;25401;113042;387;1334;1250;Låg;50;25688;97749;1874;9614;9400;Hög;200;15085;73579;1846;8636;8200;Låg;200;13388;47876;164616;164616;164890;Hög;3%;10379295;10379295;;;;;;;
2021;1;68;1359;1320;Hög;100;10511;46403;454;1793;1830;Hög;75;28097;112877;348;1342;1230;Låg;50;25538;98845;1808;9376;8760;Hög;200;12982;65733;1977;8726;8050;Låg;200;11907;47782;164684;164684;165930;Hög;3%;10389806;10389806;;;;;;;
2021;2;-441;1162;1320;Hög;100;19442;56858;496;1833;1830;Hög;75;30344;113230;267;1245;1230;Låg;50;21118;93119;1580;9252;8760;Hög;200;13921;67047;2340;9025;8050;Låg;200;10984;49795;164243;164243;165930;Hög;3%;10409248;10409248;;;;;;;
2021;3;1165;935;1320;Hög;100;26199;62222;465;1803;1830;Hög;75;29812;113654;312;1314;1230;Låg;50;21147;93491;4117;9379;8760;Hög;200;24433;66421;3213;9376;8050;Låg;200;13140;49419;165408;165408;165930;Hög;3%;10435447;10435447;;;;;;;
2021;4;119;911;1320;Hög;100;16879;73031;426;1841;1830;Hög;75;25949;114202;346;1273;1230;Låg;50;23715;91518;1885;9390;8760;Hög;200;17036;68372;2067;9597;8050;Låg;200;11411;47442;165527;165527;165930;Hög;3%;10452326;10452326;;;;;;;
2022;1;30;873;880;Hög;100;16156;78676;403;1790;1840;Hög;75;26644;112749;360;1285;1330;Låg;50;25453;91433;1935;9517;9950;Hög;200;18374;73764;2030;9650;9580;Låg;200;10522;46057;165557;165557;166410;Hög;3%;10468482;10468482;;;;;;;
2022;2;-524;790;880;Hög;100;19377;78611;422;1716;1840;Hög;75;27902;110307;267;1285;1330;Låg;50;21602;91917;1771;9708;9950;Hög;200;19362;79205;2449;9759;9580;Låg;200;10483;45556;165033;165033;166410;Hög;3%;10487859;10487859;;;;;;;
