År;Kvartal;Sysselsatta_Kvartal;Sysselsatta_R12;Sysselsatta_Prognos;Sysselsatta_Polaritet;Sysselsatta_Troskel;Sysselsatta_Kvartal_Riket;Sysselsatta_R12_Riket;Tillverkning_Kvartal;Tillverkning_R12;Tillverkning_Prognos;Tillverkning_Polaritet;Tillverkning_Troskel;Tillverkning_Kvartal_Riket;Tillverkning_R12_Riket;Handel_Kvartal;Handel_R12;Handel_Prognos;Handel_Polaritet;Handel_Troskel;Handel_Kvartal_Riket;Handel_R12_Riket;IKT_Kvartal;IKT_R12;IKT_Prognos;IKT_Polaritet;IKT_Troskel;IKT_Riket;IKT_R12_Riket;Utbildning_Kvartal;Utbildning_R12;Utbildning_Prognos;Utbildning_Polaritet;Utbildning_Troskel;Utbildning_Kvartal_Riket;Utbildning_R12_Riket;Vård_Omsorg_Kvartal;Vård_Omsorg_R12;Vård_Omsorg_Prognos;Vård_Omsorg_Polaritet;Vård_Omsorg_Troskel;Vård_Omsorg_Kvartal_Riket;Vård_Omsorg_R12_Riket;Offentlig_förvaltning_Kvartal;Offentlig_förvaltning_R12;Offentlig_förvaltning_Prognos;Offentlig_förvaltning_Polaritet;Offentlig_förvaltning_Troskel;Offentlig_förvaltning_Kvartal_Riket;Offentlig_förvaltning_R12_Riket
2020;1;88921;88921;..;Hög;250;4911196;4911196;11400;11400;..;Hög;150;592660;592660;7647;7647;..;Hög;75;583276;583276;5782;5782;..;Hög;50;214540;214540;11653;11653;..;Hög;150;535310;535310;15303;15303;..;Hög;200;854155;854155;6513;6513;..;Hög;150;313026;313026
2020;2;88601;88601;..;Hög;250;4890143;4890143;11435;11435;..;Hög;150;593848;593848;7553;7553;..;Hög;75;579220;579220;5835;5835;..;Hög;50;215251;215251;11486;11486;..;Hög;150;530836;530836;15483;15483;..;Hög;200;860697;860697;6705;6705;..;Hög;150;319187;319187
2020;3;89753;89753;..;Hög;250;4980096;4980096;11676;11676;..;Hög;150;604715;604715;7775;7775;..;Hög;75;599846;599846;5897;5897;..;Hög;50;214141;214141;11166;11166;..;Hög;150;517911;517911;16292;16292;..;Hög;200;902080;902080;6825;6825;..;Hög;150;326515;326515
2020;4;88694;88992;..;Hög;250;4886135;4916893;11368;11470;..;Hög;150;587628;594713;7460;7609;..;Hög;75;576691;584758;5829;5836;..;Hög;50;215232;214791;11711;11504;..;Hög;150;533717;529444;15775;15713;..;Hög;200;862418;869838;6688;6683;..;Hög;150;322566;320324
2021;1;87811;88715;88921;Hög;250;4824899;4895318;11407;11472;11400;Hög;150;587684;593469;7465;7563;7647;Hög;75;571398;581789;5892;5863;5782;Hög;50;215695;215080;11728;11523;11653;Hög;150;532332;528699;15580;15783;15303;Hög;200;848327;868381;6780;6750;6513;Hög;150;330499;324692
2021;2;89733;88998;88601;Hög;250;4929599;4905182;11511;11491;11435;Hög;150;597421;594362;7597;7574;7553;Hög;75;583077;582753;6096;5929;5835;Hög;50;219798;216217;11920;11631;11486;Hög;150;538528;530622;15993;15910;15483;Hög;200;870849;870919;6724;6754;6705;Hög;150;330233;327453
2021;3;92764;89751;89753;Hög;250;5123474;4941027;11823;11527;11676;Hög;150;618078;597703;8055;7644;7775;Hög;75;617942;587277;6355;6043;5897;Hög;50;223788;218628;11506;11716;11166;Hög;150;526819;532849;17184;16133;16292;Hög;200;917847;874860;6359;6638;6825;Hög;150;336438;329934
2021;4;91044;90338;88694;Hög;250;5025336;4975827;11417;11540;11368;Hög;150;601311;601124;7652;7692;7460;Hög;75;590380;590699;6341;6171;5829;Hög;50;227436;221679;9474;11157;11711;Hög;150;538340;534005;16231;16247;15775;Hög;200;864875;875475;6309;6543;6688;Hög;150;329110;331570
2022;1;90515;91014;87811;Hög;250;4999952;5019590;11357;11527;11407;Hög;150;602082;604723;7690;7749;7465;Hög;75;589636;595259;6390;6296;5892;Hög;50;229939;225240;9512;10603;11728;Hög;150;537449;535284;16128;16384;15580;Hög;200;862976;879137;6364;6439;6780;Hög;150;329474;331314
2022;2;92139;91616;89733;Hög;250;5113791;5065638;11399;11499;11511;Hög;150;612649;608530;7866;7816;7597;Hög;75;600574;599633;6467;6388;6096;Hög;50;234797;228990;9642;10034;11920;Hög;150;542396;536251;16311;16464;15993;Hög;200;875230;880232;6448;6370;6724;Hög;150;334541;332391
