År;Kvartal;Färdigställda_bostäder_Kvartal;Färdigställda_bostäder_R12;Färdigställda_bostäder_Prognos;Färdigställda_bostäder_Polaritet;Färdigställda_bostäder_Troskel;Färdigställda_bostäder_Kvartal_Riket;Färdigställda_bostäder_R12_Riket;Färdigställda_småhus_Kvartal;Färdigställda_småhus_R12;Färdigställda_småhus_Prognos;Färdigställda_småhus_Polaritet;Färdigställda_småhus_Troskel;Färdigställda_småhus_Kvartal_Riket;Färdigställda_småhus_R12_Riket;Färdigställda_flerbostadshus_Kvartal;Färdigställda_flerbostadshus_R12;Färdigställda_flerbostadshus_Prognos;Färdigställda_flerbostadshus_Polaritet;Färdigställda_flerbostadshus_Troskel;Färdigställda_flerbostadshus_Kvartal_Riket;Färdigställda_flerbostadshus_R12_Riket;Påbörjade_bostäder_Kvartal;Påbörjade_bostäder_R12;Påbörjade_bostäder_Prognos;Påbörjade_bostäder_Polaritet;Påbörjade_bostäder_Troskel;Påbörjade_bostäder_Kvartal_Riket;Påbörjade_bostäder_R12_Riket;Påbörjade_småhus_Kvartal;Påbörjade_småhus_R12;Påbörjade_småhus_Prognos;Påbörjade_småhus_Polaritet;Påbörjade_småhus_Troskel;Påbörjade_småhus_Kvartal_Riket;Påbörjade_småhus_R12_Riket;Påbörjade_flerbostadshus_Kvartal;Påbörjade_flerbostadshus_R12;Påbörjade_flerbostadshus_Prognos;Påbörjade_flerbostadshus_Polaritet;Påbörjade_flerbostadshus_Troskel;Påbörjade_flerbostadshus_Kvartal_Riket;Påbörjade_flerbostadshus_R12_Riket
2020;1;543;1341;1021;Hög;200;13708;54947;29;116;288;Hög;50;3217;10650;514;1225;733;Hög;125;10491;44297;87;1040;788;Hög;200;13138;50339;43;172;133;Hög;50;2809;11186;44;868;655;Hög;125;10329;39153
2020;2;345;1447;963;Hög;200;13168;53458;29;108;175;Hög;50;3149;10871;316;1339;788;Hög;125;10019;42587;450;1276;666;Hög;200;13832;50215;37;177;122;Hög;50;2813;10973;413;1099;544;Hög;125;11019;39242
2020;3;204;1341;1127;Hög;200;9906;52390;46;135;163;Hög;50;2183;11103;158;1206;964;Hög;125;7723;41287;133;921;1124;Hög;200;12896;54129;27;156;146;Hög;50;2412;10883;106;765;978;Hög;125;10484;43246
2020;4;423;1515;896;Hög;200;13697;50479;58;162;118;Hög;50;3024;11573;365;1353;778;Hög;125;10673;38906;84;754;1177;Hög;200;15684;55550;37;144;170;Hög;50;3175;11209;47;610;1007;Hög;125;12509;44341
2021;1;255;1227;1341;Hög;200;11243;48014;32;165;116;Hög;50;2597;10953;223;1062;1225;Hög;125;8646;37061;320;987;1040;Hög;200;16246;58658;28;129;172;Hög;50;3313;11713;292;858;868;Hög;125;12933;46945
2021;2;403;1285;1447;Hög;200;13522;48368;29;165;108;Hög;50;2753;10557;374;1120;1339;Hög;125;10769;37811;466;1003;1276;Hög;200;18799;63625;89;181;177;Hög;50;3802;12702;377;822;1099;Hög;125;14997;50923
2021;3;80;1161;1341;Hög;200;10340;48802;25;144;135;Hög;50;1985;10359;55;1017;1206;Hög;125;8355;38443;156;1026;921;Hög;200;13326;64055;50;204;156;Hög;50;3315;13605;106;822;765;Hög;125;10011;50450
2021;4;219;957;1515;Hög;200;14984;50089;68;154;162;Hög;50;3049;10384;151;803;1353;Hög;125;11935;39705;181;1123;754;Hög;200;19438;67809;22;189;144;Hög;50;3598;14028;159;934;610;Hög;125;15840;53781
2022;1;395;1097;1227;Hög;200;12647;51493;36;158;165;Hög;50;3327;11114;359;939;1062;Hög;125;9320;40379;309;1112;987;Hög;200;15764;67327;121;282;129;Hög;50;3432;14147;188;830;858;Hög;125;12332;53180
2022;2;323;1017;1285;Hög;200;14197;52168;82;211;165;Hög;50;3211;11572;241;806;1120;Hög;125;10986;40596;319;965;1003;Hög;200;18255;66783;116;309;181;Hög;50;4125;14470;203;656;822;Hög;125;14130;52313
