År;Kvartal;Färdigställda_bostäder_Kvartal;Färdigställda_bostäder_R12;Färdigställda_småhus_Kvartal;Färdigställda_småhus_R12;Färdigställda_flerbostadshus_Kvartal;Färdigställda_flerbostadshus_R12;Påbörjade_bostäder_Kvartal;Påbörjade_bostäder_R12;Påbörjade_småhus_Kvartal;Påbörjade_småhus_R12;Påbörjade_flerbostadshus_Kvartal;Påbörjade_flerbostadshus_R12
2020;1;543;1341;29;116;514;1225;87;1040;43;172;44;868
2020;2;345;1447;29;108;316;1339;450;1276;37;177;413;1099
2020;3;204;1341;46;135;158;1206;133;921;27;156;106;765
2020;4;423;1515;58;162;365;1353;84;754;37;144;47;610
2021;1;255;1227;32;165;223;1062;320;987;28;129;292;858
2021;2;403;1285;29;165;374;1120;466;1003;89;181;377;822
2021;3;80;1161;25;144;55;1017;156;1026;50;204;106;822
2021;4;219;957;68;154;151;803;181;1123;22;189;159;934
2022;1;395;1097;36;158;359;939;309;1112;121;282;188;830
2022;2;323;1017;82;211;241;806;319;965;116;309;203;656
2022;3;273;1210;69;255;204;955;43;852;43;302;0;550
2022;4;321;1312;68;255;253;1057;43;714;43;323;0;391
2023;1;272;1189;54;273;218;916;133;538;20;222;113;316
2023;2;427;1293;65;256;362;1037;16;235;10;116;6;119
2023;3;87;1107;41;228;46;879;147;339;7;80;140;259
2023;4;166;952;25;185;141;767;445;741;55;92;390;649
2024;1;116;796;10;141;106;655;329;937;19;91;310;846
2024;2;64;433;14;90;50;343;111;1032;17;98;94;934
2024;3;30;376;18;67;12;309;67;952;67;158;0;794
2024;4;61;271;61;103;0;168;18;525;18;121;0;404
2025;1;140;295;26;119;114;176;207;403;43;145;164;258
2025;2;223;454;27;132;196;322;215;507;49;177;166;330
2025;3;196;620;33;147;163;473;115;555;8;118;107;437
2025;4;240;799;32;118;208;681;72;609;23;123;49;486
