År;Kvartal;Sysselsatta_Kvartal;Sysselsatta_Kvartal_Riket;Tillverkning_Kvartal;Tillverkning_Kvartal_Riket;Handel_Kvartal;Handel_Kvartal_Riket;IKT_Kvartal;Utbildning_Kvartal;Utbildning_Kvartal_Riket;Vård_Omsorg_Kvartal;Vård_Omsorg_Kvartal_Riket;Offentlig_förvaltning_Kvartal;Offentlig_förvaltning_Kvartal_Riket;Sysselsatta_R12;Sysselsatta_R12_Riket;Tillverkning_R12;Tillverkning_R12_Riket;Handel_R12;Handel_R12_Riket;IKT_R12;Utbildning_R12;Utbildning_R12_Riket;Vård_Omsorg_R12;Vård_Omsorg_R12_Riket;Offentlig_förvaltning_R12;Offentlig_förvaltning_R12_Riket
2020;1;88921;4911196;11400;592660;7647;583276;5782;11653;535310;15303;854155;6513;313026;88921;4911196;11400;592660;7647;583276;5782;11653;535310;15303;854155;6513;313026
2020;2;88601;4890143;11435;593848;7553;579220;5835;11486;530836;15483;860697;6705;319187;88601;4890143;11435;593848;7553;579220;5835;11486;530836;15483;860697;6705;319187
2020;3;89753;4980096;11676;604715;7775;599846;5897;11166;517911;16292;902080;6825;326515;89753;4980096;11676;604715;7775;599846;5897;11166;517911;16292;902080;6825;326515
2020;4;88694;4886135;11368;587628;7460;576691;5829;11711;533717;15775;862418;6688;322566;88694;4886135;11368;587628;7460;576691;5829;11711;533717;15775;862418;6688;322566
2021;1;87811;4824899;11407;587684;7465;571398;5892;11728;532332;15580;848327;6780;330499;87811;4824899;11407;587684;7465;571398;5892;11728;532332;15580;848327;6780;330499
2021;2;89733;4929599;11511;597421;7597;583077;6096;11920;538528;15993;870849;6724;330233;89733;4929599;11511;597421;7597;583077;6096;11920;538528;15993;870849;6724;330233
2021;3;92764;5123474;11823;618078;8055;617942;6355;11506;526819;17184;917847;6359;336438;92764;5123474;11823;618078;8055;617942;6355;11506;526819;17184;917847;6359;336438
2021;4;91044;5025336;11417;601311;7652;590380;6341;9474;538340;16231;864875;6309;329110;91044;5025336;11417;601311;7652;590380;6341;9474;538340;16231;864875;6309;329110
2022;1;90515;4999952;11357;602082;7690;589636;6390;9512;537449;16128;862976;6364;329474;90515;4999952;11357;602082;7690;589636;6390;9512;537449;16128;862976;6364;329474
2022;2;92139;5113791;11399;612649;7866;600574;6467;9642;542396;16311;875230;6448;334541;92139;5113791;11399;612649;7866;600574;6467;9642;542396;16311;875230;6448;334541
2022;3;94503;5274380;11781;633667;8272;632919;6655;9189;527556;16993;914306;6524;342501;94503;5274380;11781;633667;8272;632919;6655;9189;527556;16993;914306;6524;342501
2022;4;93215;5145998;11401;611824;7709;600001;6769;9445;541003;16490;869374;6582;338408;93215;5145998;11401;611824;7709;600001;6769;9445;541003;16490;869374;6582;338408
2023;1;92984;5090169;11464;609360;7648;594280;6904;9428;541740;16369;862925;6917;339648;92984;5090169;11464;609360;7648;594280;6904;9428;541740;16369;862925;6917;339648
2023;2;94406;5177641;11616;617612;7782;603612;7048;9539;546144;16968;879406;6635;345895;94406;5177641;11616;617612;7782;603612;7048;9539;546144;16968;879406;6635;345895
2023;3;96814;5316216;12106;636352;8206;635605;7308;9028;529064;17554;919775;7313;352799;96814;5316216;12106;636352;8206;635605;7308;9028;529064;17554;919775;7313;352799
2023;4;94964;5163785;11896;615190;7778;600057;7275;8717;537845;17105;877531;7027;344757;94964;5163785;11896;615190;7778;600057;7275;8717;537845;17105;877531;7027;344757
2024;1;94105;5091118;12031;611894;7710;593314;7193;8378;534682;16868;871574;7203;344968;94105;5091118;12031;611894;7710;593314;7193;8378;534682;16868;871574;7203;344968
2024;2;94888;5165231;12310;620120;7783;600454;7072;8432;537581;16747;889626;7447;349518;94888;5165231;12310;620120;7783;600454;7072;8432;537581;16747;889626;7447;349518
2024;3;96547;5294624;12786;637708;8167;630210;7281;7980;519866;17561;931849;7487;356058;96547;5294624;12786;637708;8167;630210;7281;7980;519866;17561;931849;7487;356058
2024;4;93361;5137906;12613;615454;7632;593376;7141;8189;531984;16308;878346;7383;349421;93361;5137906;12613;615454;7632;593376;7141;8189;531984;16308;878346;7383;349421
2025;1;92511;5072350;12815;610480;7641;587446;7089;7876;531677;16055;866323;7689;353027;92511;5072350;12815;610480;7641;587446;7089;7876;531677;16055;866323;7689;353027
2025;2;94172;5163011;13004;618250;7820;597492;7074;8003;533207;16357;886322;7748;358149;94172;5163011;13004;618250;7820;597492;7074;8003;533207;16357;886322;7748;358149
2025;3;97012;5298700;13511;630741;8245;627676;7237;7670;513877;17693;930175;7852;366878;97012;5298700;13511;630741;8245;627676;7237;7670;513877;17693;930175;7852;366878
2025;4;95315;5155100;13459;608342;7664;593238;7201;7961;522717;16670;877942;7641;366754;95315;5155100;13459;608342;7664;593238;7201;7961;522717;16670;877942;7641;366754
