År;Kvartal;Färdigställda_bostäder_Kvartal;Färdigställda_bostäder_Kvartal_Riket;Färdigställda_småhus_Kvartal;Färdigställda_småhus_Kvartal_Riket;Färdigställda_flerbostadshus_Kvartal;Färdigställda_flerbostadshus_Kvartal_Riket;Påbörjade_bostäder_Kvartal;Påbörjade_bostäder_Kvartal_Riket;Påbörjade_småhus_Kvartal;Påbörjade_småhus_Kvartal_Riket;Påbörjade_flerbostadshus_Kvartal;Påbörjade_flerbostadshus_Kvartal_Riket;Färdigställda_bostäder_R12;Färdigställda_bostäder_R12_Riket;Färdigställda_småhus_R12;Färdigställda_småhus_R12_Riket;Färdigställda_flerbostadshus_R12;Färdigställda_flerbostadshus_R12_Riket;Påbörjade_bostäder_R12;Påbörjade_bostäder_R12_Riket;Påbörjade_småhus_R12;Påbörjade_småhus_R12_Riket;Påbörjade_flerbostadshus_R12;Påbörjade_flerbostadshus_R12_Riket
2020;1;543;13708;29;3217;514;10491;87;13138;43;2809;44;10329;;;;;;;;;;;;
2020;2;345;13168;29;3149;316;10019;450;13832;37;2813;413;11019;;;;;;;;;;;;
2020;3;204;9906;46;2183;158;7723;133;12896;27;2412;106;10484;;;;;;;;;;;;
2020;4;423;13697;58;3024;365;10673;84;15684;37;3175;47;12509;1515.0;50479.0;162.0;11573.0;1353.0;38906.0;754.0;55550.0;144.0;11209.0;610.0;44341.0
2021;1;255;11243;32;2597;223;8646;320;16246;28;3313;292;12933;1227.0;48014.0;165.0;10953.0;1062.0;37061.0;987.0;58658.0;129.0;11713.0;858.0;46945.0
2021;2;403;13522;29;2753;374;10769;466;18799;89;3802;377;14997;1285.0;48368.0;165.0;10557.0;1120.0;37811.0;1003.0;63625.0;181.0;12702.0;822.0;50923.0
2021;3;80;10340;25;1985;55;8355;156;13326;50;3315;106;10011;1161.0;48802.0;144.0;10359.0;1017.0;38443.0;1026.0;64055.0;204.0;13605.0;822.0;50450.0
2021;4;219;14984;68;3049;151;11935;181;19438;22;3598;159;15840;957.0;50089.0;154.0;10384.0;803.0;39705.0;1123.0;67809.0;189.0;14028.0;934.0;53781.0
2022;1;395;12647;36;3327;359;9320;309;15764;121;3432;188;12332;1097.0;51493.0;158.0;11114.0;939.0;40379.0;1112.0;67327.0;282.0;14147.0;830.0;53180.0
2022;2;323;14197;82;3211;241;10986;319;18255;116;4125;203;14130;1017.0;52168.0;211.0;11572.0;806.0;40596.0;965.0;66783.0;309.0;14470.0;656.0;52313.0
2022;3;273;9945;69;2557;204;7388;43;11338;43;2553;0;8785;1210.0;51773.0;255.0;12144.0;955.0;39629.0;852.0;64795.0;302.0;13708.0;550.0;51087.0
2022;4;321;17229;68;3665;253;13564;43;10837;43;2508;0;8329;1312.0;54018.0;255.0;12760.0;1057.0;41258.0;714.0;56194.0;323.0;12618.0;391.0;43576.0
2023;1;272;18662;54;4056;218;14606;133;7954;20;1932;113;6022;1189.0;60033.0;273.0;13489.0;916.0;46544.0;538.0;48384.0;222.0;11118.0;316.0;37266.0
2023;2;427;15950;65;3373;362;12577;16;7014;10;1738;6;5276;1293.0;61786.0;256.0;13651.0;1037.0;48135.0;235.0;37143.0;116.0;8731.0;119.0;28412.0
2023;3;87;14364;41;2344;46;12020;147;5849;7;1353;140;4496;1107.0;66205.0;228.0;13438.0;879.0;52767.0;339.0;31654.0;80.0;7531.0;259.0;24123.0
2023;4;166;16619;25;2439;141;14180;445;8091;55;1354;390;6737;952.0;65595.0;185.0;12212.0;767.0;53383.0;741.0;28908.0;92.0;6377.0;649.0;22531.0
2024;1;116;16203;10;2481;106;13722;329;8686;19;1320;310;7366;796.0;63136.0;141.0;10637.0;655.0;52499.0;937.0;29640.0;91.0;5765.0;846.0;23875.0
2024;2;64;10456;14;1560;50;8896;111;7115;17;1377;94;5738;433.0;57642.0;90.0;8824.0;343.0;48818.0;1032.0;29741.0;98.0;5404.0;934.0;24337.0
2024;3;30;7285;18;1030;12;6255;67;4975;67;1382;0;3593;376.0;50563.0;67.0;7510.0;309.0;43053.0;952.0;28867.0;158.0;5433.0;794.0;23434.0
2024;4;61;11531;61;1553;0;9978;18;6397;18;1403;0;4994;271.0;45475.0;103.0;6624.0;168.0;38851.0;525.0;27173.0;121.0;5482.0;404.0;21691.0
2025;1;140;9103;26;1499;114;7604;207;6357;43;1395;164;4962;295.0;38375.0;119.0;5642.0;176.0;32733.0;403.0;24844.0;145.0;5557.0;258.0;19287.0
2025;2;223;7729;27;1452;196;6277;215;7681;49;1728;166;5953;454.0;35648.0;132.0;5534.0;322.0;30114.0;507.0;25410.0;177.0;5908.0;330.0;19502.0
2025;3;196;4034;33;822;163;3212;115;7019;8;1042;107;5977;620.0;32397.0;147.0;5326.0;473.0;27071.0;555.0;27454.0;118.0;5568.0;437.0;21886.0
2025;4;240;8031;32;1262;208;6769;72;6951;23;1296;49;5655;799.0;28897.0;118.0;5035.0;681.0;23862.0;609.0;28008.0;123.0;5461.0;486.0;22547.0
