År;Kvartal;Inskrivna_arbetslösa_Kvartal;Inskrivna_arbetslösa_Kvartal_Riket;Inrikes_födda_arbetslösa_Kvartal;Utrikes_födda_arbetslösa_Kvartal;Utrikes_födda_arbetslösa_Kvartal_Riket;Ungdomar_arbetslösa_Kvartal;Ungdomar_arbetslösa_Kvartal_Riket;Långtidsarbetslösa_Kvartal;Långtidsarbetslösa_Kvartal_Riket;Inskrivna_arbetslösa_%_Kvartal;Inskrivna_arbetslösa_%_Kvartal_Riket;Inrikes_födda_arbetslösa_%_Kvartal;Inrikes_födda_arbetslösa_%_Kvartal_Riket;Utrikes_födda_arbetslösa_%_Kvartal;Ungdomar_arbetslösa_%_Kvartal;Ungdomar_arbetslösa_%_Kvartal_Riket;Långtidsarbetslösa_%_Kvartal;Långtidsarbetslösa_%_Kvartal_Riket;Inskrivna_arbetslösa_R12;Inskrivna_arbetslösa_R12_Riket;Inrikes_födda_arbetslösa_R12;Utrikes_födda_arbetslösa_R12;Utrikes_födda_arbetslösa_R12_Riket;Ungdomar_arbetslösa_R12;Ungdomar_arbetslösa_R12_Riket;Långtidsarbetslösa_R12;Långtidsarbetslösa_R12_Riket;Inskrivna_arbetslösa_%_R12;Inskrivna_arbetslösa_%_R12_Riket;Inrikes_födda_arbetslösa_%_R12;Inrikes_födda_arbetslösa_%_R12_Riket;Utrikes_födda_arbetslösa_%_R12;Ungdomar_arbetslösa_%_R12;Ungdomar_arbetslösa_%_R12_Riket;Långtidsarbetslösa_%_R12;Långtidsarbetslösa_%_R12_Riket
2020;1;5067;;2088;2979;;744;;2141;;6,4;;3,2;;19,3;8,2;;42,25379909216499;;5067;;2088;2979;;744;;2141;;6,4;;;;;;;;
2020;2;5608;;2389;3219;;816;;2188;;7,0;;3,7;;20,5;8,9;;39,015691868758914;;5608;;2389;3219;;816;;2188;;7,0;;;;;;;;
2020;3;6231;;2722;3509;;1057;;2250;;7,7;;4,2;;21,9;11,2;;36,10977371208474;;6231;;2722;3509;;1057;;2250;;7,7;;;;;;;;
2020;4;5872;;2448;3424;;890;;2251;;7,3;;3,8;;21,5;9,6;;38,334468664850135;;5872;;2448;3424;;890;;2251;;7,3;;14.9;;83.2;37.9;;155.71373333785877;
2021;1;5683;;2304;3379;;822;;2401;;6,9;;3,5;;20,0;8,9;;42,24881224705261;;5683;;2304;3379;;822;;2401;;6,9;;15.2;;83.9;38.6;;155.7087464927464;
2021;2;5408;;2069;3339;;746;;2535;;6,6;;3,2;;19,8;8,2;;46,875;;5408;;2069;3339;;746;;2535;;6,6;;14.7;;83.2;37.9;;163.56805462398748;
2021;3;5454;;2039;3415;;797;;2701;;6,7;;3,1;;20,1;8,7;;49,52328566189952;;5454;;2039;3415;;797;;2701;;6,7;;13.600000000000001;;81.4;35.4;;176.98156657380227;
2021;4;5159;;1914;3245;;730;;2619;;6,3;;3,0;;19,3;8,0;;50,765652258189576;;5159;;1914;3245;;730;;2619;;6,3;;12.8;;79.2;33.8;;189.4127501671417;
2022;1;4836;;1754;3082;;635;;2461;;6,0;;2,7;;18,3;7,3;;50,889164598842015;;4836;;1754;3082;;635;;2461;;6,0;;12.0;;77.5;32.2;;198.05310251893113;
2022;2;4641;;1660;2981;;605;;2349;;5,8;;2,6;;17,8;7,0;;50,61409179056238;;4641;;1660;2981;;605;;2349;;5,8;;11.400000000000002;;75.5;30.999999999999996;;201.79219430949348;
2022;3;4624;;1736;2888;;649;;2252;;5,9;;2,9;;17,4;7,5;;48,702422145328725;;4624;;1736;2888;;649;;2252;;5,9;;11.2;;72.8;29.799999999999997;;200.97133079292269;
2022;4;4734;;1751;2983;;669;;2270;;5,9;;2,7;;17,9;7,7;;47,95099281791297;;4734;;1751;2983;;669;;2270;;5,9;;10.9;;71.4;29.5;;198.1566713526461;
2023;1;4699;;1714;2985;;639;;2209;;5,6;;2,6;;16,7;6,2;;47,01000212811237;;4699;;1714;2985;;639;;2209;;5,6;;10.8;;69.8;28.400000000000002;;194.27750888191645;
2023;2;4613;;1651;2962;;578;;2173;;5,5;;2,5;;16,5;5,5;;47,10600476913071;;4613;;1651;2962;;578;;2173;;5,5;;10.7;;68.5;26.900000000000002;;190.76942186048475;
2023;3;4810;;1775;3035;;684;;2122;;5,7;;2,7;;16,7;6,5;;44,11642411642412;;4810;;1775;3035;;684;;2122;;5,7;;10.5;;67.8;25.900000000000002;;186.18342383158017;
2023;4;4735;;1728;3007;;667;;2072;;5,6;;2,6;;16,5;6,3;;43,75923970432946;;4735;;1728;3007;;667;;2072;;5,6;;10.4;;66.4;24.5;;181.99167071799667;
2024;1;5004;;1879;3125;;647;;2125;;5,9;;2,8;;16,9;6,0;;42,46602717825739;;5004;;1879;3125;;647;;2125;;5,9;;10.6;;66.6;24.299999999999997;;177.44769576814167;
2024;2;4823;;1790;3033;;607;;2065;;5,7;;2,7;;16,3;5,7;;42,815674891146585;;4823;;1790;3033;;607;;2065;;5,7;;10.8;;66.4;24.5;;173.15736589015756;
2024;3;5118;;2039;3079;;781;;2160;;6,0;;3,1;;16,5;7,3;;42,20398593200469;;5118;;2039;3079;;781;;2160;;6,0;;11.200000000000001;;66.19999999999999;25.299999999999997;;171.24492770573812;
2024;4;5134;;1990;3144;;722;;2184;;6,0;;3,0;;16,8;6,8;;42,53992987923647;;5134;;1990;3144;;722;;2184;;6,0;;11.6;;66.5;25.8;;170.02561788064514;
2025;1;5312;;2088;3224;;680;;2318;;6,2;;3,1;;17,1;6,4;;43,63704819277108;;5312;;2088;3224;;680;;2318;;6,2;;11.9;;66.7;26.2;;171.19663889515883;
2025;2;5113;;2009;3104;;638;;2311;;6,0;;3,0;;16,4;6,0;;45,198513592802655;;5113;;2009;3104;;638;;2311;;6,0;;12.2;;66.8;26.5;;173.5794775968149;
2025;3;5310;;2221;3089;;769;;2335;;6,2;;3,3;;16,3;7,2;;43,973634651600754;;5310;;2221;3089;;769;;2335;;6,2;;12.4;;66.6;26.400000000000002;;175.34912631641097;
