Kommun;NYKO6;Totalt;0-1_år;2-3_år;4-5_år;6_år;7-9_år;10-12_år;13-15_år;16-18_år;19-24_år;25-34_år;35-44_år;45-54_år;55-64_år;65-69_år;70-79_år;80+_år;Y_koordinat;X_koordinat
580;111114;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;532778;6475321
580;111114;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;532790;6475329
580;111114;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;532748;6475307
580;111113;4;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;532645;6475254
580;111113;4;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;532582;6475226
580;111113;3;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;532632;6475248
580;111113;3;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;532674;6475269
580;111113;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;532661;6475262
580;111113;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;532602;6475234
580;111113;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;532617;6475240
580;111112;5;0;0;0;0;0;0;0;1;1;1;0;2;0;0;0;0;532942;6475465
580;111112;4;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;532956;6475472
580;111112;3;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;532931;6475456
580;111112;3;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;533018;6475500
580;111112;3;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;532971;6475480
580;111112;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;533000;6475494
580;111112;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;532986;6475487
580;111111;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;532896;6475442
580;111111;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;532884;6475434
580;111111;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;532854;6475421
580;111111;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;532868;6475429
580;111111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;532839;6475414
580;111111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;532824;6475406
580;111111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;532811;6475399
580;111110;4;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;532675;6475332
580;111110;4;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;532733;6475362
580;111110;3;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;532719;6475354
580;111110;3;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;532690;6475340
580;111110;3;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;532768;6475377
580;111110;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;532747;6475368
580;111110;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;532705;6475346
580;111109;4;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;532645;6475318
580;111109;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;532573;6475282
580;111109;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;532587;6475289
580;111109;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;532630;6475310
580;111109;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;532559;6475274
580;111109;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;532616;6475302
580;111109;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;532602;6475296
580;111114;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;532763;6475313
580;111114;3;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;532735;6475299
580;111114;3;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;532722;6475292
580;111114;6;0;0;0;1;1;1;1;0;0;2;0;0;0;0;0;0;532706;6475284
580;111115;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;532897;6475381
580;111115;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;532835;6475350
580;111115;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;532854;6475359
580;111115;4;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;532912;6475388
580;111115;5;0;0;0;0;0;0;0;0;1;1;1;0;2;0;0;0;532883;6475373
580;111115;5;0;0;0;0;1;1;0;0;1;0;2;0;0;0;0;0;532870;6475366
580;111115;6;0;0;0;0;0;0;0;1;2;1;1;1;0;0;0;0;532925;6475396
580;111116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;533000;6475431
580;111116;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;532958;6475410
580;111116;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;533016;6475438
580;111116;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;532972;6475417
580;111116;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;533028;6475449
580;111116;5;0;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;532987;6475424
580;111117;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;532622;6475217
580;111117;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;532636;6475224
580;111117;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;532651;6475232
580;111117;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;532666;6475239
580;111117;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;532699;6475218
580;111117;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;532678;6475246
580;111117;3;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;532686;6475212
