;Faktor_1;Faktor_2;Faktor_3
långvarigt ekonomiskt bistånd;0,243;0,275;-0,062
inskrivna arbetslösa;0,238;0,277;0,0
ej självförsörjande;0,252;-0,07;0,064
ekonomiskt bistånd totalt;0,226;0,269;-0,069
trångbodda hushåll;0,241;0,125;0,026
ohälsotal 50-64 år;0,139;0,049;0,387
låg ekonomisk standard;0,273;0,083;-0,015
uvas;0,088;0,309;0,095
hyresrätt;0,247;-0,102;0,085
små bostäder;0,208;-0,261;0,081
kvm per person;-0,175;0,145;0,461
bilinnehav;-0,231;0,259;0,025
förgymnasial utbildning;0,217;0,325;0,089
kvarboende minst tre år;-0,215;0,272;0,198
lång eftergymnasial utbildning;-0,156;-0,147;-0,135
utrikes födda;0,252;0,12;-0,083
ensamstående hushåll;0,238;-0,244;0,21
nettoinkomst (tkr);-0,232;0,17;0,019
barnfattigdom;0,259;0,083;-0,014
sysselsättningsgrad;-0,211;0,184;0,221
skolungdomar 6-15 år;-0,137;0,362;-0,238
äldre 80+ år;-0,01;-0,084;0,614
