tid;kön;ålder;Åldersgrupp_5år;Befolkning;Inflyttade;Utflyttade;Döda;Födda_barn;Födda_Pojkar;Födda_Flickor;Kvinnor_TFR_fil;Inflyttade_Inrikes;Inflyttade_Utrikes;Utflyttade_Inrikes;Utflyttade_Utrikes;Färdigställda_bostäder
1968;Båda könen;0 år;0-4 år;1415.0;52.0;52.0;12.0;0.0;0.0;0.0;0.0;48.0;4.0;51.0;1.0;1746
1968;Båda könen;1 år;0-4 år;1568.0;119.0;114.0;1.0;0.0;0.0;0.0;0.0;117.0;2.0;108.0;6.0;1746
1968;Båda könen;2 år;0-4 år;1543.0;114.0;97.0;2.0;0.0;0.0;0.0;0.0;105.0;9.0;95.0;2.0;1746
1968;Båda könen;3 år;0-4 år;1654.0;96.0;76.0;1.0;0.0;0.0;0.0;0.0;94.0;2.0;71.0;5.0;1746
1968;Båda könen;4 år;0-4 år;1558.0;76.0;84.0;1.0;0.0;0.0;0.0;0.0;73.0;3.0;79.0;5.0;1746
1968;Båda könen;5 år;5-9 år;1408.0;85.0;74.0;1.0;0.0;0.0;0.0;0.0;85.0;0.0;69.0;5.0;1746
1968;Båda könen;6 år;5-9 år;1390.0;68.0;65.0;0.0;0.0;0.0;0.0;0.0;64.0;4.0;64.0;1.0;1746
1968;Båda könen;7 år;5-9 år;1339.0;50.0;47.0;2.0;0.0;0.0;0.0;0.0;47.0;3.0;43.0;4.0;1746
1968;Båda könen;8 år;5-9 år;1332.0;43.0;38.0;0.0;0.0;0.0;0.0;0.0;42.0;1.0;37.0;1.0;1746
1968;Båda könen;9 år;5-9 år;1334.0;39.0;24.0;1.0;0.0;0.0;0.0;0.0;38.0;1.0;23.0;1.0;1746
1968;Båda könen;10 år;10-14 år;1412.0;47.0;41.0;0.0;0.0;0.0;0.0;0.0;46.0;1.0;36.0;5.0;1746
1968;Båda könen;11 år;10-14 år;1292.0;43.0;33.0;0.0;0.0;0.0;0.0;0.0;42.0;1.0;31.0;2.0;1746
1968;Båda könen;12 år;10-14 år;1390.0;37.0;29.0;2.0;0.0;0.0;0.0;0.0;35.0;2.0;26.0;3.0;1746
1968;Båda könen;13 år;10-14 år;1416.0;34.0;25.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0;24.0;1.0;1746
1968;Båda könen;14 år;10-14 år;1382.0;33.0;37.0;0.0;0.0;0.0;0.0;0.0;32.0;1.0;35.0;2.0;1746
1968;Båda könen;15 år;15-19 år;1383.0;37.0;29.0;0.0;0.0;0.0;0.0;0.0;35.0;2.0;28.0;1.0;1746
1968;Båda könen;16 år;15-19 år;1396.0;26.0;23.0;0.0;0.0;0.0;0.0;0.0;26.0;0.0;23.0;0.0;1746
1968;Båda könen;17 år;15-19 år;1433.0;42.0;38.0;1.0;0.0;0.0;0.0;0.0;42.0;0.0;37.0;1.0;1746
1968;Båda könen;18 år;15-19 år;1594.0;93.0;61.0;0.0;0.0;0.0;0.0;0.0;85.0;8.0;60.0;1.0;1746
1968;Båda könen;19 år;15-19 år;1701.0;130.0;92.0;0.0;0.0;0.0;0.0;0.0;113.0;17.0;90.0;2.0;1746
1968;Båda könen;20 år;20-24 år;1747.0;151.0;109.0;3.0;0.0;0.0;0.0;0.0;143.0;8.0;105.0;4.0;1746
1968;Båda könen;21 år;20-24 år;1712.0;162.0;152.0;1.0;0.0;0.0;0.0;0.0;150.0;12.0;148.0;4.0;1746
1968;Båda könen;22 år;20-24 år;1833.0;176.0;172.0;4.0;0.0;0.0;0.0;0.0;171.0;5.0;168.0;4.0;1746
1968;Båda könen;23 år;20-24 år;1827.0;222.0;199.0;1.0;0.0;0.0;0.0;0.0;216.0;6.0;193.0;6.0;1746
1968;Båda könen;24 år;20-24 år;1784.0;202.0;177.0;1.0;0.0;0.0;0.0;0.0;196.0;6.0;171.0;6.0;1746
1968;Båda könen;25 år;25-29 år;1694.0;203.0;164.0;1.0;0.0;0.0;0.0;0.0;194.0;9.0;156.0;8.0;1746
1968;Båda könen;26 år;25-29 år;1606.0;170.0;160.0;1.0;0.0;0.0;0.0;0.0;163.0;7.0;151.0;9.0;1746
