Kommun;Klusternamn;PCA_X;PCA_Y
Göteborg;Metropolerna (Giganterna);4.672918076985087;-1.2494131975625253
Helsingborg;Industri & Logistiknoder;-2.769764859502164;-4.369102184306721
Jönköping;Industri & Logistiknoder;-3.9163110925565774;-0.7221167863697409
Linköping;Kunskapsmotorerna (HCI-drivna);-0.3423153261758028;2.689689223096244
Lund;Kunskapsmotorerna (HCI-drivna);3.9824519641423137;5.406184630626425
Malmö;Metropolerna (Giganterna);2.5562573055853153;-3.461928491667799
Norrköping;Industri & Logistiknoder;-5.07868399253247;-2.641747474686538
Stockholm;Metropolerna (Giganterna);11.336370167252682;-2.4529014994616225
Umeå;Kunskapsmotorerna (HCI-drivna);-1.680818127298769;4.153682868782643
Uppsala;Kunskapsmotorerna (HCI-drivna);-1.2541353555411494;3.8328539904193244
Västerås;Industri & Logistiknoder;-4.307103127962181;-1.3869049003989802
Örebro;Industri & Logistiknoder;-3.1988656323962834;0.20170382152928576
