Kommun;År;Indikator;Värde
Fem till tolv;2006;Arbetslöshet;8.4625
Fem till tolv;2007;Arbetslöshet;6.875
Fem till tolv;2008;Arbetslöshet;6.0625
Fem till tolv;2009;Arbetslöshet;7.699999999999999
Fem till tolv;2010;Arbetslöshet;9.425
Fem till tolv;2011;Arbetslöshet;9.075
Fem till tolv;2012;Arbetslöshet;9.0875
Fem till tolv;2013;Arbetslöshet;9.1375
Fem till tolv;2014;Arbetslöshet;8.637500000000001
Fem till tolv;2015;Arbetslöshet;8.087500000000002
Fem till tolv;2016;Arbetslöshet;7.899999999999999
Fem till tolv;2017;Arbetslöshet;7.875
Fem till tolv;2018;Arbetslöshet;7.6625
Fem till tolv;2019;Arbetslöshet;7.35
Fem till tolv;2020;Arbetslöshet;8.1
Fem till tolv;2021;Arbetslöshet;8.7625
Fem till tolv;2022;Arbetslöshet;7.375000000000001
Fem till tolv;2023;Arbetslöshet;6.8625
Fem till tolv;2024;Arbetslöshet;7.15
Fem till tolv;2025;Arbetslöshet;7.6
Fyra stora;2006;Arbetslöshet;8.0
Fyra stora;2007;Arbetslöshet;6.35
Fyra stora;2008;Arbetslöshet;5.2
Fyra stora;2009;Arbetslöshet;6.975
Fyra stora;2010;Arbetslöshet;9.3
Fyra stora;2011;Arbetslöshet;9.025
Fyra stora;2012;Arbetslöshet;8.9
Fyra stora;2013;Arbetslöshet;9.25
Fyra stora;2014;Arbetslöshet;8.975000000000001
Fyra stora;2015;Arbetslöshet;8.725
Fyra stora;2016;Arbetslöshet;8.625
Fyra stora;2017;Arbetslöshet;8.424999999999999
Fyra stora;2018;Arbetslöshet;8.175
Fyra stora;2019;Arbetslöshet;7.9
Fyra stora;2020;Arbetslöshet;8.75
Fyra stora;2021;Arbetslöshet;10.15
Fyra stora;2022;Arbetslöshet;8.425
Fyra stora;2023;Arbetslöshet;7.699999999999999
Fyra stora;2024;Arbetslöshet;8.075000000000001
Fyra stora;2025;Arbetslöshet;8.524999999999999
Göteborg;2006;Arbetslöshet;8.9
Göteborg;2007;Arbetslöshet;6.6
Göteborg;2008;Arbetslöshet;5.4
Göteborg;2009;Arbetslöshet;8.1
Göteborg;2010;Arbetslöshet;10.3
Göteborg;2011;Arbetslöshet;9.3
Göteborg;2012;Arbetslöshet;9.1
Göteborg;2013;Arbetslöshet;9.4
Göteborg;2014;Arbetslöshet;8.8
Göteborg;2015;Arbetslöshet;8.4
Göteborg;2016;Arbetslöshet;8.0
Göteborg;2017;Arbetslöshet;7.3
Göteborg;2018;Arbetslöshet;7.1
Göteborg;2019;Arbetslöshet;6.9
Göteborg;2020;Arbetslöshet;7.9
Göteborg;2021;Arbetslöshet;9.5
Göteborg;2022;Arbetslöshet;7.7
Göteborg;2023;Arbetslöshet;6.9
Göteborg;2024;Arbetslöshet;7.4
Göteborg;2025;Arbetslöshet;8.2
Helsingborg;2006;Arbetslöshet;8.6
Helsingborg;2007;Arbetslöshet;6.9
Helsingborg;2008;Arbetslöshet;6.5
Helsingborg;2009;Arbetslöshet;8.6
Helsingborg;2010;Arbetslöshet;11.0
Helsingborg;2011;Arbetslöshet;11.4
Helsingborg;2012;Arbetslöshet;11.7
Helsingborg;2013;Arbetslöshet;11.1
Helsingborg;2014;Arbetslöshet;11.1
Helsingborg;2015;Arbetslöshet;10.8
Helsingborg;2016;Arbetslöshet;10.9
Helsingborg;2017;Arbetslöshet;10.7
Helsingborg;2018;Arbetslöshet;10.5
Helsingborg;2019;Arbetslöshet;10.0
Helsingborg;2020;Arbetslöshet;11.0
Helsingborg;2021;Arbetslöshet;11.8
Helsingborg;2022;Arbetslöshet;10.3
Helsingborg;2023;Arbetslöshet;10.1
Helsingborg;2024;Arbetslöshet;11.0
Helsingborg;2025;Arbetslöshet;11.6
Jönköping;2006;Arbetslöshet;6.1
Jönköping;2007;Arbetslöshet;4.9
Jönköping;2008;Arbetslöshet;4.0
Jönköping;2009;Arbetslöshet;6.4
Jönköping;2010;Arbetslöshet;7.3
Jönköping;2011;Arbetslöshet;6.6
Jönköping;2012;Arbetslöshet;6.3
Jönköping;2013;Arbetslöshet;7.2
Jönköping;2014;Arbetslöshet;6.6
Jönköping;2015;Arbetslöshet;6.2
Jönköping;2016;Arbetslöshet;5.9
Jönköping;2017;Arbetslöshet;5.8
Jönköping;2018;Arbetslöshet;5.4
Jönköping;2019;Arbetslöshet;5.1
Jönköping;2020;Arbetslöshet;5.8
Jönköping;2021;Arbetslöshet;6.4
Jönköping;2022;Arbetslöshet;5.2
Jönköping;2023;Arbetslöshet;5.0
Jönköping;2024;Arbetslöshet;5.6
Jönköping;2025;Arbetslöshet;6.0
Linköping;2006;Arbetslöshet;7.7
Linköping;2007;Arbetslöshet;6.3
Linköping;2008;Arbetslöshet;5.7
Linköping;2009;Arbetslöshet;7.2
Linköping;2010;Arbetslöshet;9.2
Linköping;2011;Arbetslöshet;8.8
Linköping;2012;Arbetslöshet;8.5
Linköping;2013;Arbetslöshet;8.4
Linköping;2014;Arbetslöshet;7.3
Linköping;2015;Arbetslöshet;6.6
Linköping;2016;Arbetslöshet;6.2
Linköping;2017;Arbetslöshet;6.0
Linköping;2018;Arbetslöshet;5.9
Linköping;2019;Arbetslöshet;5.8
Linköping;2020;Arbetslöshet;6.4
Linköping;2021;Arbetslöshet;6.9
Linköping;2022;Arbetslöshet;6.0
Linköping;2023;Arbetslöshet;5.7
Linköping;2024;Arbetslöshet;5.9
Linköping;2025;Arbetslöshet;6.2
Lkpg-Nkpg;2006;Arbetslöshet;9.5
Lkpg-Nkpg;2007;Arbetslöshet;7.9
Lkpg-Nkpg;2008;Arbetslöshet;7.050000000000001
Lkpg-Nkpg;2009;Arbetslöshet;8.8
Lkpg-Nkpg;2010;Arbetslöshet;10.6
Lkpg-Nkpg;2011;Arbetslöshet;10.45
Lkpg-Nkpg;2012;Arbetslöshet;10.45
Lkpg-Nkpg;2013;Arbetslöshet;10.6
Lkpg-Nkpg;2014;Arbetslöshet;10.05
Lkpg-Nkpg;2015;Arbetslöshet;9.55
Lkpg-Nkpg;2016;Arbetslöshet;9.2
Lkpg-Nkpg;2017;Arbetslöshet;9.2
Lkpg-Nkpg;2018;Arbetslöshet;8.75
Lkpg-Nkpg;2019;Arbetslöshet;8.2
Lkpg-Nkpg;2020;Arbetslöshet;8.7
Lkpg-Nkpg;2021;Arbetslöshet;9.1
Lkpg-Nkpg;2022;Arbetslöshet;7.9
Lkpg-Nkpg;2023;Arbetslöshet;7.35
Lkpg-Nkpg;2024;Arbetslöshet;7.5
Lkpg-Nkpg;2025;Arbetslöshet;7.949999999999999
Lund;2006;Arbetslöshet;6.4
Lund;2007;Arbetslöshet;5.2
Lund;2008;Arbetslöshet;4.1
Lund;2009;Arbetslöshet;5.0
Lund;2010;Arbetslöshet;6.2
Lund;2011;Arbetslöshet;6.0
Lund;2012;Arbetslöshet;5.8
Lund;2013;Arbetslöshet;6.0
Lund;2014;Arbetslöshet;5.9
Lund;2015;Arbetslöshet;5.8
Lund;2016;Arbetslöshet;5.6
Lund;2017;Arbetslöshet;6.1
Lund;2018;Arbetslöshet;6.3
Lund;2019;Arbetslöshet;6.3
Lund;2020;Arbetslöshet;6.9
Lund;2021;Arbetslöshet;7.4
Lund;2022;Arbetslöshet;6.3
Lund;2023;Arbetslöshet;5.7
Lund;2024;Arbetslöshet;5.9
Lund;2025;Arbetslöshet;6.3
Länet exkl Linköping;2006;Arbetslöshet;10.4
Länet exkl Linköping;2007;Arbetslöshet;8.666666666666666
Länet exkl Linköping;2008;Arbetslöshet;7.733333333333334
Länet exkl Linköping;2009;Arbetslöshet;9.7
Länet exkl Linköping;2010;Arbetslöshet;11.433333333333332
