Target_Index;Indikator;Vikt_Procent
PCI (Platsattraktivitet);Skattekraft;8.223673802056922
PCI (Platsattraktivitet);Födda_barn;7.222728067888362
PCI (Platsattraktivitet);Nettoflytt_eget_län;5.489123669702341
PCI (Platsattraktivitet);KIBS (beräkning Sysselsatta);5.362088712232502
PCI (Platsattraktivitet);Försörjningskvot;5.060275606788016
ECI (Ekonomisk Motor);Nattbefolkning;7.757449636057068
ECI (Ekonomisk Motor);KIBS (beräkning Sysselsatta);6.303571224986397
ECI (Ekonomisk Motor);Bostäder;5.740855674242906
ECI (Ekonomisk Motor);Inpendling;5.319915797621975
ECI (Ekonomisk Motor);Andel_Privat;4.766806803383728
HCI (Humankapital);Nattbefolkning;8.933601078317473
HCI (Humankapital);Nyföretagande;6.567313456426904
HCI (Humankapital);Andel_Privat;6.501764512463347
HCI (Humankapital);Förvärvsinkomst_median;5.362845943887284
HCI (Humankapital);Total BRP (Miljarder SEK);4.6387745051928535
