basområde,tid,PCA_Faktor_1,PCA_Faktor_2,PCA_Faktor_3
Alsätter västra,2024,9.035,-3.518,-1.164
Alsätter östra,2024,8.337,2.719,-0.299
Arnebo,2024,-1.093,-0.203,0.843
Askeby,2024,-2.483,0.273,-1.109
Askeby glesbygd,2024,-2.317,0.423,-0.155
Aspnäset,2024,-0.076,-0.172,3.091
Bankekind,2024,-2.426,0.54,-0.222
Bankekind norra glesbygd,2024,-1.374,0.481,0.328
Bankekind södra glesbygd,2024,-1.331,0.413,0.37
Barhäll,2024,-1.707,0.606,-1.249
Berg,2024,-2.579,0.066,-0.652
Berg norra glesbygd,2024,-1.038,0.352,0.723
Berg södra glesbygd,2024,-2.179,0.677,-0.063
Berga glesbygd,2024,-0.618,0.723,1.391
Bestorp norra glesbygd,2024,0.173,1.339,1.138
Bestorp södra glesbygd,2024,-1.445,0.786,0.319
Bestorp västra,2024,-0.817,0.379,2.162
Bestorp östra,2024,0.17,1.539,0.512
Bjärka-Säby,2024,-0.943,-0.522,0.652
Björkeberg glesbygd,2024,-1.449,1.769,0.737
Björkeberg kyrkby,2024,-0.847,1.16,-0.687
Björnkärr,2024,-1.248,0.97,0.35
Blästad,2024,-1.612,0.113,1.014
Brokind,2024,-3.012,0.18,-0.676
Brokind norra glesbygd,2024,-2.502,0.081,1.245
Brokind södra glesbygd,2024,-2.064,0.232,-0.28
Brunnby-Heda,2024,-1.23,0.7,-0.298
Djurgården centrum,2024,3.598,-5.92,-5.169
Duvkullen,2024,1.248,0.058,0.413
Ebbepark,2024,2.412,-3.522,-1.656
Ekholmen centrum,2024,3.312,0.172,1.862
Ektuna,2024,-3.385,0.677,0.268
Ekängen glesbygd,2024,-0.0,-0.014,0.437
Fjälla,2024,-1.892,0.157,0.082
Flistad kyrkby,2024,-0.359,-2.087,-0.238
Folkets Park,2024,-0.426,-1.201,-0.451
Folkungavallen,2024,3.586,-6.456,-4.876
Fridhem,2024,3.146,-3.188,0.447
Fridsberg,2024,-3.408,0.054,-1.505
Gamla Ekkällan,2024,2.235,-2.941,0.795
Gamla Gottfridsberg,2024,3.564,-1.46,0.336
Gamla Linghem,2024,-1.529,0.283,0.486
Gamla Malmslätt,2024,-0.929,-0.198,0.709
Gamla Ramshäll,2024,-0.467,-0.691,0.668
Gamla Tannefors,2024,2.58,-0.492,1.48
Gamla Valla,2024,3.34,-4.692,-0.96
Gamla Vimanshäll,2024,-1.67,0.261,-0.932
Gammalkil glesbygd,2024,-1.708,0.895,0.524
Gistad,2024,-0.243,0.398,0.343
Gistad glesbygd,2024,-1.993,0.107,0.412
Gullberg,2024,-2.772,1.445,-1.173
Gälstad-Lundby,2024,-2.766,0.821,-1.171
Hackefors nordväst,2024,-2.685,0.151,-0.877
Hagaberg,2024,-1.899,-1.566,0.738
Haninge västra,2024,-2.099,0.039,-0.202
Haninge östra,2024,2.617,1.217,0.242
Harvestad östra,2024,-2.413,0.899,-2.046
Hejdegården norra,2024,3.33,-1.552,0.845
Himna södra,2024,-2.757,0.659,-0.494
Hjulsbro östra,2024,-3.499,1.002,-0.632
Holmen,2024,-1.447,1.299,-0.7
Hunneberg,2024,3.146,-3.104,1.558
Innerstaden nordost,2024,3.052,-1.394,1.261
Innerstaden nordväst,2024,2.109,-1.943,0.714
Innerstaden sydost,2024,1.926,-2.019,1.483
Innerstaden sydväst,2024,2.006,-1.551,2.795
Johannelund västra,2024,4.138,-0.715,0.907
Johannesborg,2024,2.604,-3.441,1.038
Jägarvallen,2024,-1.962,0.837,-1.32
Kanaljorden,2024,-0.606,0.639,-0.679
