basområde,tid,Barnfattigdom,Behöriga gymnasiets yrkesprogram,Bilinnehav,Boende per hushåll,Bostadsrätt,Ej självförsörjande,Ekonomiskt bistånd totalt,Ensamstående hushåll,Flera bilar,Folkmängd,Förgymnasial utbildning,Förgymnasial utbildning kvinnor,Förgymnasial utbildning män,Förvärvsinkomst (tkr),Förvärvsinkomst (tkr) kvinnor,Förvärvsinkomst (tkr) män,Gini-koefficient,Gymnasieexamen inom 3-5 år,Hyresrätt,Ingår,Inskrivna arbetslösa,Inskrivna förskolebarn,Kvarboende minst ett år,Kvarboende minst fem år,Kvarboende minst tre år,Kvinnors andel förvärvsinkomst,Kvinnors andel nettoinkomst,Kvm per hushåll,Kvm per person,Kvot mellan dag- och nattbefolkning,Kvot mellan in- och utflyttning inom kommunen,Kvot mellan in- och utflyttning inom kommunen av förvärvsarbetande,Kvot mellan in-och utflyttning totalt,Kvot mellan inrikes in- och utflyttning av förvärvsarbetande,Kön,Låg ekonomisk standard,Låg inkomststandard,Lång eftergymnasial utbildning,Långvarigt ekonomiskt bistånd,Meritvärde grundskolan,Nettoinkomst (tkr),Nettoinkomst (tkr) kvinnor,Nettoinkomst (tkr) män,"Nettoinkomst, andel",Ohälsotal 50-64 år,Index: Samlat SEI (16 indikatorer),SEIsnitt medel,Skolungdomar 6-15 år,Små bostäder,Sysselsättningsgrad,Sysselsättningsgrad kvinnor,Sysselsättningsgrad män,Trångbodda hushåll,UVAS,Utländsk bakgrund,Utländsk bakgrund kvinnor,Utländsk bakgrund män,Utrikes födda,Valdeltagande,Äganderätt,Äldre 80+ år,Befolkning 0-19 år,Befolkning 20-64 år,Befolkning 65+ år,Befolkningsförändring,Bostadsrätter,Bostäder,Döda,Födda,Förgymnasial utb,Förvärvsarbetande dagbefolkning,Förvärvsarbetande nattbefolkning,Gymnasial utb,Hushåll,Hushåll ensamstående,Hushåll sammanboende,Hushåll övriga,Hyresrätter,Inflyttning,Inflyttning annat län,Inflyttning av förvärvsarbetande från annat basområde,Inflyttning egen kommun,Inflyttning inom länet,Invandring,Invånarantal,Kort eftergymnasial utb,Lång eftergymnasial utb,Nybyggda bostadsrätter,Nybyggda bostäder,Nybyggda hyresrätter,Nybyggda äganderätter,Uppgift saknas utb,Utflyttning,Utflyttning annat län,Utflyttning av förvärvsarbetande till annat basområde,Utflyttning egen kommun,Utflyttning inom länet,Utvandring,Äganderätter,Försörjningskvot,Nettopendling,Inrikes inflyttning,Inrikes utflyttning,Flyttningsnetto,Flyttningsnetto inom kommunen,Inrikes flyttningsnetto,Migrationsnetto,Födelseöverskott,Nettoflyttning förvärvsarbetande,Index: Ekonomisk Utsatthet,Index: Socialt & Humankapital,Index: Fysisk Bostadssegregation,Index: Demografisk Koncentration,KodNyko4,Stadsdelskod_(Nyko3),Stadsdel,Karaktär_bas,Karaktär_detalj,SEI_indikatorer16,Inkluderad,Områdestyp
Alsätter västra,2015,74.4,73.3,10.5,1.41,,85.8,5.5,75.5,1.5,4047.0,6.823,9.843,5.099,53.7,53.6,53.7,0.353,52.0,98.1,1.0,4.9,75.0,61.54,19.04,28.904,99.814,107.031,38.1,27.0,0.355,0.583,0.379,0.82,0.929,37.756,66.7,34.4,29.877,3.0,169.0,123.7,129.4,120.9,55.149,62.9,1.75,2.0,5.065,79.5,26.751,28.371,25.826,6.5,5.2,44.601,49.084,41.882,33.951,59.979,,0.593,614.0,3327.0,106.0,-284.0,0.0,3368.0,9.0,38.0,227.0,332.0,934.0,529.0,2686.0,2027.0,379.0,280.0,3368.0,1414.0,728.0,97.0,436.0,94.0,156.0,4047.0,1422.0,994.0,,28.0,28.0,,155.0,1724.0,541.0,256.0,748.0,51.0,384.0,0.0,0.216,-602.0,822.0,592.0,-310.0,-312.0,230.0,-228.0,29.0,-159.0,7.691,4.952,10.239,3.582,1112.0,111.0,Ryd,Stadsdel,Yttre staden,2,1,Studentområde
Alsätter västra,2016,75.4,76.5,10.5,1.41,,84.1,5.5,74.8,1.5,4063.0,6.792,9.748,5.158,55.4,57.8,54.0,0.36,52.0,97.5,1.0,4.3,79.0,61.54,19.04,28.904,107.037,109.306,38.1,27.0,0.314,0.513,0.369,0.997,1.112,37.263,63.6,34.4,28.636,3.0,177.0,127.7,133.9,122.5,55.643,57.1,1.938,2.0,4.947,79.5,29.114,30.84,28.16,6.5,5.2,46.0,50.991,43.036,35.146,59.979,,0.566,603.0,3342.0,118.0,16.0,0.0,3369.0,5.0,25.0,227.0,328.0,1043.0,592.0,2682.0,2006.0,366.0,310.0,3369.0,1477.0,767.0,96.0,409.0,99.0,202.0,4063.0,1361.0,957.0,,28.0,28.0,,205.0,1481.0,544.0,260.0,797.0,68.0,72.0,0.0,0.216,-715.0,866.0,612.0,-4.0,-388.0,254.0,130.0,20.0,-164.0,7.437,4.974,10.303,3.667,1112.0,111.0,Ryd,Stadsdel,Yttre staden,2,1,Studentområde
Alsätter västra,2017,64.7,75.0,10.8,1.45,,84.4,5.2,73.2,1.9,4207.0,6.963,9.667,5.518,57.3,60.8,54.5,0.367,52.0,97.7,1.0,4.5,77.0,61.54,19.04,28.904,111.56,109.569,38.1,26.2,0.302,0.542,0.439,1.09,1.081,36.439,61.8,34.4,27.85,2.8,177.0,131.8,137.4,125.4,55.847,50.5,1.813,2.0,5.61,80.0,28.343,31.833,26.48,6.5,5.2,49.584,53.686,47.233,38.507,59.979,,0.618,625.0,3447.0,135.0,144.0,0.0,3377.0,5.0,22.0,240.0,314.0,1039.0,550.0,2734.0,2002.0,385.0,347.0,3377.0,1526.0,700.0,130.0,436.0,123.0,267.0,4207.0,1384.0,960.0,,28.0,28.0,,313.0,1400.0,470.0,296.0,805.0,71.0,54.0,0.0,0.22,-725.0,823.0,541.0,126.0,-369.0,282.0,213.0,17.0,-166.0,7.133,4.95,10.334,3.98,1112.0,111.0,Ryd,Stadsdel,Yttre staden,2,1,Studentområde
Alsätter västra,2018,65.5,60.0,11.5,1.46,,84.9,4.7,73.8,1.8,4294.0,6.943,9.609,5.529,63.8,68.3,61.2,0.35,57.0,97.6,1.0,4.5,72.0,58.943,18.957,28.645,111.601,108.177,37.8,26.0,0.302,0.531,0.548,1.038,1.181,36.12,61.1,34.4,25.769,2.4,157.0,139.1,144.2,133.3,57.102,59.2,1.563,2.0,5.589,80.3,27.378,29.56,26.22,6.2,6.2,52.981,55.384,51.622,41.756,70.016,,0.605,621.0,3543.0,130.0,87.0,0.0,3391.0,5.0,35.0,246.0,307.0,1017.0,584.0,2790.0,2058.0,397.0,335.0,3391.0,1563.0,674.0,155.0,445.0,115.0,329.0,4294.0,1442.0,913.0,,28.0,28.0,,358.0,1506.0,495.0,283.0,838.0,89.0,84.0,0.0,0.212,-710.0,789.0,584.0,57.0,-393.0,205.0,245.0,30.0,-128.0,7.37,4.064,10.602,4.376,1112.0,111.0,Ryd,Stadsdel,Yttre staden,2,1,Studentområde
Alsätter västra,2019,71.1,92.9,10.3,1.48,,85.7,4.7,72.0,1.5,4306.0,6.892,9.193,5.642,63.0,63.5,62.9,0.36,65.0,98.1,1.0,4.4,70.0,57.548,19.066,28.843,100.954,108.171,37.8,25.6,0.291,0.575,0.438,0.995,1.085,37.018,62.6,34.4,25.12,2.4,203.0,137.9,144.3,133.4,54.614,56.2,1.875,2.0,5.829,80.6,30.661,30.376,30.816,6.3,7.4,55.272,55.27,55.273,44.31,70.016,,0.65,616.0,3555.0,135.0,12.0,0.0,3415.0,4.0,23.0,245.0,327.0,1123.0,558.0,2765.0,1992.0,404.0,369.0,3415.0,1471.0,641.0,120.0,446.0,76.0,308.0,4306.0,1507.0,893.0,,28.0,28.0,,352.0,1479.0,547.0,274.0,775.0,95.0,62.0,0.0,0.211,-796.0,717.0,642.0,-8.0,-329.0,75.0,246.0,19.0,-154.0,7.581,4.136,11.018,4.644,1112.0,111.0,Ryd,Stadsdel,Yttre staden,2,1,Studentområde
Alsätter västra,2020,70.4,73.3,10.6,1.46,,86.3,4.6,73.4,1.6,4340.0,6.076,8.46,4.797,63.9,61.9,65.6,0.358,75.0,98.2,1.0,5.1,76.0,61.106,18.249,28.687,94.36,106.922,37.6,25.8,0.289,0.508,0.446,1.014,1.012,36.705,65.4,34.4,27.731,2.8,167.0,139.6,145.2,135.8,54.595,51.7,1.688,2.0,5.876,81.0,27.676,27.773,27.623,5.7,8.1,55.3,56.309,54.714,44.309,70.016,,0.783,619.0,3588.0,133.0,34.0,0.0,3439.0,5.0,17.0,218.0,294.0,1018.0,602.0,2837.0,2082.0,406.0,349.0,3439.0,1481.0,776.0,128.0,418.0,98.0,189.0,4340.0,1502.0,995.0,,28.0,28.0,,271.0,1461.0,525.0,287.0,823.0,70.0,43.0,0.0,0.21,-724.0,874.0,595.0,20.0,-405.0,279.0,146.0,12.0,-159.0,8.083,3.937,10.653,4.623,1112.0,111.0,Ryd,Stadsdel,Yttre staden,2,1,Studentområde
Alsätter västra,2021,65.3,75.0,10.7,1.46,,85.5,4.5,74.2,1.6,4192.0,6.079,8.516,4.717,69.3,67.5,70.2,0.357,58.0,98.4,1.0,6.1,72.0,59.041,18.416,29.89,96.154,104.748,37.8,25.8,0.291,0.497,0.382,0.889,0.931,37.643,64.1,34.4,29.145,3.2,170.0,144.8,147.8,141.1,53.929,51.1,1.563,2.0,5.868,81.2,28.679,28.629,28.707,5.9,10.9,57.538,59.949,56.083,46.04,70.016,,0.835,622.0,3438.0,132.0,-148.0,0.0,3439.0,10.0,33.0,209.0,297.0,1021.0,572.0,2737.0,2032.0,368.0,337.0,3439.0,1442.0,710.0,100.0,439.0,89.0,204.0,4192.0,1390.0,1002.0,,28.0,28.0,,265.0,1622.0,606.0,262.0,883.0,85.0,48.0,0.0,0.219,-724.0,799.0,691.0,-180.0,-444.0,108.0,156.0,23.0,-162.0,8.231,4.038,10.923,4.882,1112.0,111.0,Ryd,Stadsdel,Yttre staden,2,1,Studentområde
Alsätter västra,2022,64.8,75.0,10.9,1.47,,85.1,3.6,74.1,1.5,4403.0,5.698,7.818,4.454,68.1,66.6,69.7,0.351,62.0,98.5,1.0,5.1,75.0,62.003,19.487,30.298,95.552,100.462,37.5,25.6,0.267,0.718,0.701,1.145,1.239,38.837,65.4,33.6,27.993,2.5,173.0,151.8,152.2,151.5,54.331,53.7,1.75,2.0,5.769,81.7,30.058,30.827,29.607,6.1,10.4,58.574,60.351,57.445,47.059,57.053,,0.795,635.0,3633.0,135.0,211.0,0.0,3439.0,7.0,20.0,207.0,305.0,1141.0,600.0,2872.0,2129.0,380.0,363.0,3439.0,1538.0,719.0,164.0,493.0,100.0,226.0,4403.0,1509.0,1017.0,,28.0,28.0,,300.0,1343.0,556.0,234.0,687.0,62.0,38.0,0.0,0.212,-836.0,819.0,618.0,195.0,-194.0,201.0,188.0,13.0,-70.0,8.278,4.495,10.86,4.979,1112.0,111.0,Ryd,Stadsdel,Yttre staden,2,1,Studentområde
Alsätter västra,2023,62.0,68.8,10.5,1.41,,84.1,3.1,76.5,1.3,4110.0,5.717,7.396,4.632,71.4,64.9,77.9,0.348,62.0,98.7,1.0,4.2,76.0,63.723,18.321,28.394,83.312,98.482,37.6,26.7,0.262,0.647,0.478,0.814,1.006,40.876,63.3,29.1,26.481,1.96,158.0,163.2,162.2,164.7,55.51,55.6,1.563,2.0,5.839,81.6,32.02,30.717,32.862,5.9,6.6,54.355,57.262,52.346,42.384,57.053,,0.73,600.0,3376.0,134.0,-293.0,0.0,3439.0,3.0,24.0,193.0,296.0,1131.0,572.0,2786.0,2130.0,407.0,249.0,3439.0,1379.0,647.0,133.0,495.0,79.0,158.0,4110.0,1513.0,894.0,,28.0,28.0,,204.0,1694.0,548.0,278.0,765.0,78.0,303.0,0.0,0.217,-835.0,726.0,626.0,-315.0,-270.0,100.0,-145.0,21.0,-145.0,7.492,4.957,11.102,4.266,1112.0,111.0,Ryd,Stadsdel,Yttre staden,2,1,Studentområde
Alsätter västra,2024,63.636,68.8,10.6,1.4,,84.9,3.12,77.0,1.5,4188.0,5.615,6.83,4.797,78.2,71.2,82.5,0.344,62.0,98.7,1.0,4.1,75.0,59.981,17.049,27.698,86.303,101.91,37.4,26.7,0.359,0.722,0.626,1.041,1.194,41.428,61.654,23.1,26.31,1.49,176.0,175.0,176.1,172.8,56.379,62.1,1.75,2.0,5.874,82.1,30.767,29.475,31.638,5.8,5.1,52.555,55.504,50.469,41.547,57.053,,0.788,593.0,3455.0,140.0,78.0,0.0,3439.0,4.0,20.0,194.0,397.0,1105.0,637.0,2860.0,2202.0,418.0,240.0,3439.0,1558.0,721.0,161.0,519.0,75.0,243.0,4188.0,1491.0,909.0,,28.0,28.0,,224.0,1497.0,526.0,257.0,719.0,77.0,175.0,0.0,0.212,-708.0,796.0,603.0,61.0,-200.0,193.0,68.0,16.0,-96.0,7.285,5.279,11.522,4.068,1112.0,111.0,Ryd,Stadsdel,Yttre staden,2,1,Studentområde
