Nr,Rent_Namn,Målvakt,Nationalitet,Alias,Född,Avled,Klubb,Tid,Mat,Mål,Anteckningar
9042,"AASMUNDSEN, STIAN",Nej,NOR,,1989-11-02,,JÖNKÖPINGS SÖDRA IF,2016-2017,39,2,
9049,"ABDU, LUMALA",Nej,UGA,,1997-07-21,,KALMAR FF,2016,10,0,SEN SWE MEDB
8273,"ABDULAHI, DENIS",Nej,FIN,,1990-05-22,,ÖREBRO SK,2010-2011,7,0,
9965,"ABDULLAI, SULEIMAN",Nej,NIG,,1996-12-10,,IFK GÖTEBORG,2022-2023,17,0,
8333,"ABDULLAI, ZAKARIA",Nej,GHA,,1989-10-10,,GEFLE IF,2011-2013,47,0,
8332,"ABDULRAHMAN, MOHAMMED",Nej,NIG,MOMMO,1989-09-16,,GAIS,2011,1,0,
6736,"ABELSSON, PETER",Nej,SWE,,1977-07-14,,TRELLEBORGS FF,1999-2011,152,7,
6736,"ABELSSON, PETER",Nej,SWE,,1977-07-14,,MALMÖ FF,2004-2005,30,3,
6458,"ABOLEW FAROUK, HAITHEM",Nej,EGY,,1971-01-04,,HELSINGBORGS IF,1997,4,0,
9330,"ABRAHAM, PAULOS",Nej,SWE,,2002-07-16,,AIK,2020,26,3,
8143,"ABRAHAM, SARGON",Nej,SWE,,1991-02-07,,IFK GÖTEBORG,2018-2020,58,6,
8143,"ABRAHAM, SARGON",Nej,SWE,,1991-02-07,,DEGERFORS IF,2021,18,0,
9073,"ABRAHAMSSON, ALEXANDER",Nej,SWE,,1999-08-07,,IF BROMMAPOJKARNA,2023,11,0,
1094,"ABRAHAMSSON, GUSTAF",Nej,SWE,JACOB,1903-11-08,1975-06-00,IK SLEIPNER,1925-1926,25,5,FR DERBY
1094,"ABRAHAMSSON, GUSTAF",Nej,SWE,JACOB,1903-11-08,1975-06-00,IFK NORRKÖPING,1929,10,3,
1663,"ABRAHAMSSON, HENOCK",Ja,SWE,KINKAN,1909-10-29,1958-04-23,GÅRDA BK,1936-1942,142,0,
7619,"ABRAHAMSSON, PETER",Ja,SWE,,1988-07-18,,BK HÄCKEN,2015-2023,219,0,
9898,"ABUBAKARI, MALIK",Nej,GHA,,2000-05-10,,MALMÖ FF,2021-2022,23,5,
8467,"ABUBAKARI, MOHAMED",Nej,GHA,,1986-02-15,,ÅTVIDABERGS FF,2012-2014,58,4,
8467,"ABUBAKARI, MOHAMED",Nej,GHA,,1986-02-15,,BK HÄCKEN,2015-2017,77,2,
8467,"ABUBAKARI, MOHAMED",Nej,GHA,,1986-02-15,,HELSINGBORGS IF,2019-2020,48,1,
8424,"ACCAM, DAVID",Nej,GHA,,1990-09-28,,HELSINGBORGS IF,2012-2014,62,30,
8424,"ACCAM, DAVID",Nej,GHA,,1990-09-28,,HAMMARBY IF,2021,13,1,
6149,"ACHEAMPONG, JOACHIN YAW",Nej,GHA,,1973-11-02,,IFK NORRKÖPING,1994-1995,22,1,OS-BRONS 1992
8559,"ACHINIOTI JÖNSSON, ALEXANDER",Nej,SWE,,1996-04-17,,HELSINGBORGS IF,2014-2016,22,0,
9074,"ACKERMANN, KEVIN",Nej,SWE,,2001-05-24,,BK HÄCKEN,2017-2018,2,0,
9074,"ACKERMANN, KEVIN",Nej,SWE,,2001-05-24,,IF BROMMAPOJKARNA,2023,28,3,
9974,"ACQUAH, BENJAMIN",Nej,GHA,,2000-12-29,,HELSINGBORGS IF,2022,10,1,
9023,"ADAM, ABDUL-BASIT",Nej,GHA,,1995-02-13,,GEFLE IF,2016,5,0,
2369,"ADAMSSON, FOLKE",Nej,SWE,,1911-08-05,1977-11-15,HAMMARBY IF,1940,21,2,
2349,"ADAMSSON, GUNNAR",Nej,SWE,,1920-09-19,1983-03-20,GAIS,1943,10,0,
9909,"ADEGBENRO, SAMUEL",Nej,NIG,,1995-12-03,,IFK NORRKÖPING,2021,30,17,
9188,"ADEKUGBE, SAMUEL",Nej,KAN,,1995-01-16,,IFK GÖTEBORG,2017,9,0,
8253,"ADELSTAM, MATTIAS",Nej,SWE,,1982-03-07,,TRELLEBORGS FF,2010-2011,58,7,
9859,"ADEMI, ALBION",Nej,FIN,,1999-02-19,,DJURGÅRDENS IF,2021-2022,11,0,"FIN,ALB,KOS"
9859,"ADEMI, ALBION",Nej,FIN,,1999-02-19,,IFK VÄRNAMO,2023,27,3,
9678,"ADEMI, LORIK",Nej,SWE,,2001-07-30,,FALKENBERGS FF,2020,9,0,
7430,"ADEMOLU, STEPHEN",Nej,KAN,,1982-11-20,,TRELLEBORGS FF,2004,16,2,
5640,"ADER, FREDRIK",Nej,SWE,,1969-08-06,,ÖRGRYTE IS,1989-1990,3,1,
7539,"ADEYINKA, MICHAEL",Nej,NIG,,1985-03-25,,GIF SUNDSVALL,2005,1,0,
9971,"ADJEI, NATHANIEL",Nej,GHA,,2002-08-21,,HAMMARBY IF,2022-2023,24,1,
9889,"ADJOURMANI, YANNICK",Nej,ELF,,2002-12-29,,BK HÄCKEN,2021,3,0,
3737,"ADNELL, SVEN",Nej,SWE,,1938-03-21,2024-05-18,IK SIRIUS,1969,2,0,
1095,"ADOLFSSON, DAVID",Nej,SWE,DAVA,1905-01-02,1978-05-08,IFK NORRKÖPING,1928-1930,55,8,
3711,"ADOLFSSON, JAN",Ja,SWE,,1944-09-16,,AIK,1968,1,0,
3031,"ADOLFSSON, ROLAND",Nej,SWE,,1927-11-25,2017-02-25,HAMMARBY IF,1956-1957,7,0,FR SKÄRBLACKA
9218,"ADRIAN, SAMUEL",Nej,SWE,,1998-03-02,,MALMÖ FF,2017-2022,14,0,
9218,"ADRIAN, SAMUEL",Nej,SWE,,1998-03-02,,KALMAR FF,2019,4,0,
8844,"ADU, ENOCK KOFI",Nej,GHA,,1990-09-14,,MALMÖ FF,2014-2016,60,3,
8844,"ADU, ENOCK KOFI",Nej,GHA,,1990-09-14,,AIK,2018-2020,77,1,
8844,"ADU, ENOCK KOFI",Nej,GHA,,1990-09-14,,MJÄLLBY AIF,2021,19,0,
8416,"ADUKOR, JOACHIM",Nej,GHA,,1993-05-02,,GEFLE IF,2012-2013,11,0,
8123,"AFFANE, AMIN",Nej,SWE,,1994-01-21,,AIK,2016-2017,34,1,
8123,"AFFANE, AMIN",Nej,SWE,,1994-01-21,,IFK GÖTEBORG,2018-2020,33,1,
7170,AFONSO ALVES,Nej,BRA,A.ALVES MARTINS JUNIOR,1981-01-30,,ÖRGRYTE IS,2002-2003,39,23,
7170,AFONSO ALVES,Nej,BRA,A.ALVES MARTINS JUNIOR,1981-01-30,,MALMÖ FF,2004-2006,55,29,
9950,"AGA, OSCAR",Nej,NOR,,2001-01-06,,IF ELFSBORG,2022,13,2,
8456,"AGANOVIC, ADMIR",Nej,BIH,,1986-08-25,,SYRIANSKA FC,2012,25,4,
7011,"AGANOVIC, VEDAD",Nej,BIH,,1979-09-16,,IF ELFSBORG,2001,1,0,
8437,"AGARDIUS, VIKTOR",Nej,SWE,,1989-10-23,,MJÄLLBY AIF,2012-2020,103,1,
8437,"AGARDIUS, VIKTOR",Nej,SWE,,1989-10-23,,KALMAR FF,2015-2019,102,1,
8437,"AGARDIUS, VIKTOR",Nej,SWE,,1989-10-23,,IFK NORRKÖPING,2021-2022,37,1,
